日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-01-02,600851,10.47,10.42,10.52,10.35,27493,29512061.0,1.63,-0.1,-0.01,0.37
2018-01-03,600851,10.37,10.45,10.52,10.33,29987,32196031.0,1.82,0.29,0.03,0.41
2018-01-04,600851,10.42,10.35,10.49,10.3,25470,27279028.0,1.82,-0.96,-0.1,0.35
2018-01-05,600851,10.36,10.94,10.97,10.29,63998,70557888.0,6.57,5.7,0.59,0.87
2018-01-08,600851,11.01,11.17,11.26,10.79,62408,70794430.0,4.3,2.1,0.23,0.85
2018-01-09,600851,11.17,11.22,11.47,10.89,96365,111713617.0,5.19,0.45,0.05,1.31
2018-01-10,600851,11.22,11.07,11.29,10.93,41994,47754632.0,3.21,-1.34,-0.15,0.57
2018-01-11,600851,11.01,10.94,11.05,10.79,31686,35445491.0,2.35,-1.17,-0.13,0.43
2018-01-12,600851,10.94,11.04,11.21,10.94,36103,41057376.0,2.47,0.91,0.1,0.49
2018-01-15,600851,11.04,11.33,11.44,10.85,85388,98098687.0,5.34,2.63,0.29,1.16
2018-01-16,600851,11.36,11.37,11.44,11.21,38628,44899676.0,2.03,0.35,0.04,0.52
2018-01-17,600851,11.37,11.13,11.51,11.09,33808,39121889.0,3.69,-2.11,-0.24,0.46
2018-01-18,600851,11.13,11.25,11.31,10.99,23325,26820480.0,2.88,1.08,0.12,0.32
2018-01-19,600851,11.25,10.9,11.29,10.89,23330,26558205.0,3.56,-3.11,-0.35,0.32
2018-01-22,600851,10.9,11.0,11.02,10.8,14715,16563327.0,2.02,0.92,0.1,0.2
2018-01-23,600851,10.98,10.96,11.12,10.89,17203,19465836.0,2.09,-0.36,-0.04,0.23
2018-01-24,600851,10.96,10.98,11.0,10.79,20937,23476757.0,1.92,0.18,0.02,0.28
2018-01-25,600851,10.95,10.86,11.02,10.8,24281,27236292.0,2.0,-1.09,-0.12,0.33
2018-01-26,600851,10.86,10.9,10.98,10.82,12522,14047023.0,1.47,0.37,0.04,0.17
2018-01-29,600851,10.83,10.51,10.99,10.49,27077,29896636.0,4.59,-3.58,-0.39,0.37
2018-01-30,600851,10.45,10.58,10.63,10.37,21203,22912466.0,2.47,0.67,0.07,0.29
2018-01-31,600851,10.55,11.55,11.65,10.37,116279,133431143.0,12.1,9.17,0.97,1.58
2018-02-01,600851,11.61,11.34,11.61,11.02,67133,78133977.0,5.11,-1.82,-0.21,0.91
2018-02-02,600851,11.2,11.86,11.99,10.9,111328,131381740.0,9.61,4.59,0.52,1.51
2018-02-05,600851,11.61,12.68,12.74,11.45,88469,108743181.0,10.88,6.91,0.82,1.2
2018-02-06,600851,12.04,11.47,12.04,11.42,64764,78447222.0,4.89,-9.54,-1.21,0.88
2018-02-07,600851,11.64,10.73,11.79,10.6,61407,70404381.0,10.37,-6.45,-0.74,0.83
2018-02-08,600851,10.73,11.0,11.08,10.5,28511,31615024.0,5.41,2.52,0.27,0.39
2018-02-09,600851,10.7,10.1,10.83,9.99,45569,49247051.0,7.64,-8.18,-0.9,0.62
2018-02-12,600851,10.12,10.21,10.28,9.84,23231,24195911.0,4.36,1.09,0.11,0.31
2018-02-13,600851,10.27,10.17,10.29,10.04,20722,21710255.0,2.45,-0.39,-0.04,0.28
2018-02-14,600851,10.17,10.08,10.2,9.75,31807,32789077.0,4.42,-0.88,-0.09,0.43
