代码,時価総額,名称,PER,PBR,営業利益率,ROA,ROE,EPS,配当利回り
688147,43800718739.340004,微导纳米,132.2,15.16,15.0561,2.7387,8.38,0.5389,0.4632554221941461
688702,72750400000.0,盛科通信-U,5823.62,30.62,1.0235,0.3498,0.39,0.0229,
688409,29831053310.82,富创精密,596.87,6.48,2.3046,0.301,0.81,0.0854,1.5397249024840896
688280,6545558287.03,精进电动-UW,58.76,9.83,3.9706,2.9689,12.54,0.1416,
600984,5769831615.75,建设机械,4.6,1.73,-63.4549,-5.7773,-21.69,-0.7478,
601777,51495329808.69,千里科技,724.89,4.93,0.1696,-0.7733,0.51,-0.0393,
601890,11886966000.0,亚星锚链,42.19,3.21,16.5175,4.0513,5.71,0.228,11.299435028248586
605033,3876184000.0,美邦股份,80.32,3.38,5.7436,1.9217,3.15,0.2677,5.231949773282176
600629,20561476184.210003,华建集团,97.76,3.88,2.6991,1.0377,2.97,0.1651,5.757432751297782
600410,26984734148.63,华胜天成,56.48,5.69,14.8152,4.2581,7.55,0.3538,0.26818366517675746
600893,152392022586.46,航发动力,1058.65,3.83,1.2418,0.1563,0.27,0.0713,1.6966940703165994
603533,16511298932.699999,掌阅科技,57.16,7.14,-7.9869,-6.7188,-9.37,-0.4728,2.658160552897395
603331,4003077592.8,百达精工,50.25,3.02,5.905,1.6827,4.5,0.2736,4.040404040404041
605289,9808494850.0,罗曼股份,348.87,7.66,4.2399,0.8142,1.65,0.1915,
603960,7270747767.0,克来机电,238.93,6.5,5.7394,1.7884,2.04,0.0867,2.0555355210962856
603163,12899000000.0,圣晖集成,101.15,11.59,6.1243,4.7662,8.59,1.0024,6.9772850608574295
603466,6947100701.92,风语筑,98.87,3.3,4.4453,1.1123,2.45,0.0886,17.123287671232877
605007,7816243949.29,五洲特纸,32.4,2.27,3.3198,1.5546,5.04,0.3846,15.21606816798539
600791,3301495200.0,京能置业,9.24,8.37,-19.7396,-1.7938,-11.19,-0.7419,
688629,53272331550.36,华丰科技,179.1,31.64,13.6059,6.6882,13.25,0.47,
688031,25135702570.0,星环科技-U,88.41,28.1,-94.7478,-16.5972,-23.84,-1.7602,
688586,13096663031.800001,江航装备,231.7,5.31,6.8759,1.1737,1.72,0.0536,5.438066465256798
600397,15334478572.18,江钨装备,37.49,98.63,-11.395,-8.9804,-197.3,-0.3012,
688563,34335000000.0,航材股份,64.36,3.29,,,,,6.9783748361730025
603090,8290000000.000001,宏盛股份,96.58,13.52,13.5555,7.1904,10.5,0.6436,3.61881785283474
688767,6012160026.84,博拓生物,202.54,2.57,7.3673,0.8031,0.95,0.1365,24.838549428713364
688533,5634284023.25,上声电子,31.31,3.33,6.9398,3.9197,8.02,0.8083,13.177159590043924
688510,11491661082.24,航亚科技,110.68,9.6,16.6328,3.9981,6.55,0.3036,4.5167118337850045
605255,18115548800.0,天普股份,761.12,22.45,9.7586,2.0532,2.21,0.1331,1.6653097476130556
688646,4264236464.48,ST逸飞,402.61,2.87,-1.9712,-0.1495,-0.54,-0.0448,
603103,22133580000.0,横店影视,80.58,17.23,10.7364,5.155,15.0,0.3248,4.011461318051576
688579,5140128500.0,山大地纬,122.32,3.73,9.3696,1.8863,2.29,0.0788,5.058365758754864
603297,13811619150.0,永新光学,68.58,6.91,24.982,6.408,7.56,1.3602,6.827309236947792
688292,5377524161.28,浩瀚深度,439.25,5.3,-10.647,-0.9944,-0.88,-0.0949,3.533568904593639
600641,17635436984.0,先导基电,708.54,2.16,-2.6696,-0.556,0.23,-0.0658,2.282321899736148
688001,15583813895.580002,华兴源创,77.12,4.5,9.0538,2.754,4.3,0.3403,
688419,5731020000.07,耐科装备,64.89,5.6,33.9176,5.4634,6.47,0.5783,7.995202878273036
600977,34632850000.0,中国电影,391.44,3.13,5.8652,0.4535,0.6,0.0459,0.5929919137466307
605136,4721405715.0,丽人丽妆,97.04,1.93,-3.4844,-1.4027,-1.49,-0.0936,
688343,34780838913.6,云天励飞-U,87.56,8.92,-30.9308,-5.4827,-7.68,-0.8111,
688085,7419540580.5,三友医疗,89.78,3.58,16.0806,2.3273,2.99,0.1623,0.18876404494382024
603045,4049810134.5,福达合金,54.72,3.98,1.6137,2.0122,5.45,0.4017,2.040133779264214
603021,2054066609.4,ST华鹏,16.04,50.16,-35.6196,-6.0789,,-0.3017,
603268,97174908130.29999,*ST松发,57.33,12.04,14.6356,5.7801,15.76,1.3096,
603667,33192619072.8,五洲新春,252.78,11.13,4.906,2.0952,3.3,0.2981,1.3239187996469548
688785,23594038268.0,恒运昌,193.23,10.79,,,,,
600538,3538338849.0,国发股份,689.05,4.59,-0.2419,-0.2155,-0.5,-0.004,
688239,14743327370.94,航宇科技,75.8,7.49,11.2957,3.2941,7.47,0.7766,2.8445823635893457
688308,9018801014.4,欧科亿,132.3,3.5,4.814,1.2347,1.98,0.3032,2.6408450704225355
688652,20916000000.0,京仪装备,122.07,9.59,12.3252,3.0042,5.89,0.7649,1.0040160642570282
688319,11006882457.0,欧林生物,173.87,11.47,10.9693,2.5132,4.95,0.1161,
