序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688147,微导纳米,94.98,14.57,12.08,135152.0,1228447273.0,20.22,98.0,81.24,82.65,82.9,1.64,2.93,132.2,15.16,43800718739.0,43800718739.0,0.2,-0.07,58.04,51.27
2,688702,盛科通信-U,177.44,11.42,18.18,107902.0,1882670692.0,16.63,182.68,156.19,158.57,159.26,1.67,5.32,5823.62,30.62,72750400000.0,36018861976.0,0.03,-0.21,45.91,25.23
3,688409,富创精密,97.42,11.11,9.74,102127.0,989814909.0,12.93,101.01,89.67,89.67,87.68,2.72,3.34,596.87,6.48,29831053311.0,29831053311.0,0.12,-0.19,45.19,44.54
4,688280,精进电动-UW,11.09,10.68,1.07,673770.0,748515340.0,18.06,11.83,10.02,10.02,10.02,2.95,12.94,58.76,9.83,6545558287.0,5772834568.0,-0.36,-0.72,34.59,27.47
5,600984,建设机械,4.59,10.07,0.42,1428946.0,643965981.0,8.15,4.59,4.25,4.25,4.17,3.54,11.37,-4.6,1.73,5769831616.0,5769831616.0,0.0,0.0,12.5,12.22
6,601777,千里科技,11.39,10.05,1.04,1122892.0,1249177728.0,9.47,11.39,10.41,10.68,10.35,4.85,2.48,724.89,4.93,51495329809.0,51495329809.0,0.0,0.0,1.15,7.15
7,601890,亚星锚链,12.39,10.04,1.13,819019.0,991289357.0,8.7,12.39,11.41,11.41,11.26,2.19,8.54,42.19,3.21,11886966000.0,11886966000.0,0.0,0.0,16.34,20.41
8,605033,美邦股份,28.67,10.02,2.61,27478.0,78780659.0,0.0,28.67,28.67,28.67,26.06,0.82,2.03,80.32,3.38,3876184000.0,3876184000.0,0.0,0.0,33.91,42.78
9,600629,华建集团,21.19,10.02,1.93,386211.0,803527911.0,10.07,21.19,19.25,19.26,19.26,2.92,4.05,97.76,3.88,20561476184.0,20196550290.0,0.0,0.0,2.42,-2.35
10,600410,华胜天成,24.61,10.01,2.24,2287169.0,5537259810.0,11.62,24.61,22.01,22.01,22.37,1.28,20.86,56.48,5.69,26984734149.0,26984734149.0,0.0,0.0,13.57,37.64
11,600893,航发动力,57.17,10.01,5.2,1004186.0,5530400585.0,10.53,57.17,51.7,51.88,51.97,2.38,3.77,1058.65,3.83,152392022586.0,152365182415.0,0.0,0.0,52.09,42.82
12,603533,掌阅科技,37.62,10.0,3.42,663543.0,2462157867.0,4.74,37.62,36.0,36.23,34.2,7.87,15.12,-57.16,7.14,16511298933.0,16511298933.0,0.0,0.0,78.29,70.07
13,603331,百达精工,19.8,10.0,1.8,272470.0,529055139.0,9.44,19.8,18.1,18.1,18.0,0.79,13.48,50.25,3.02,4003077593.0,4003077593.0,0.0,0.0,69.23,38.95
14,605289,罗曼股份,89.98,10.0,8.18,107151.0,944517302.0,12.2,89.98,80.0,81.0,81.8,2.09,9.89,348.87,7.66,9808494850.0,9748208250.0,0.0,0.0,44.2,36.83
15,603960,克来机电,27.73,10.0,2.52,289867.0,780909766.0,11.74,27.73,24.77,24.85,25.21,1.68,11.06,238.93,6.5,7270747767.0,7270747767.0,0.0,0.0,40.19,39.77
