日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2018-01-01,190.89041137695312,,0,0.0,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-02,190.89041137695312,0.0,0,0.0,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-03,190.89041137695312,0.0,0,0.0,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-04,187.9232177734375,-1.5543963586815646,158400,29767037.6953125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-05,189.7035217285156,0.9473571047641904,61200,11609855.529785156,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-08,189.7035217285156,0.0,0,0.0,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-09,201.7701873779297,6.360802129273413,269600,54397242.51708984,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-10,201.5723571777344,-0.0980472897241124,148800,29993966.748046875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-11,198.8029937744141,-1.3738805469633242,140000,27832419.12841797,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-12,195.637939453125,-1.5920556633470584,98400,19250773.2421875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-15,198.01171875,1.2133532501469535,98400,19484353.125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-16,195.83575439453125,-1.0989068572330396,96400,18878566.72363281,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-17,204.14393615722656,4.242423345206725,130400,26620369.274902344,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-18,197.41827392578125,-3.2945687038508864,170800,33719041.18652344,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-19,210.4739685058593,6.613214835920589,227600,47903875.2319336,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-22,234.211669921875,11.278212495601236,796000,186432489.2578125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-23,230.4532165527344,-1.6047250636120336,250000,57613304.1381836,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-24,225.50787353515625,-2.1459205870734688,175200,39508979.443359375,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2018-01-25,245.6849060058593,8.94737383418125,520000,127756151.12304688,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
