日期,收盘,涨跌幅,成交量,成交额,PER,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2021-02-26,1280.60009765625,,9068300,11612865865.576172,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-01,1193.8836669921875,-6.771546466595668,3689300,4404595012.634277,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-02,1051.108154296875,-11.958913304762277,1915300,2013187447.9248047,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-03,1313.8851318359375,24.99999419325633,10701900,14061067292.39502,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-04,1579.289794921875,20.19998983587541,24920100,39356059618.43262,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-05,1484.6900634765625,-5.990017269122683,18257700,27107025771.936035,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-08,1334.9073486328125,-10.088483686151816,7749500,10344864498.22998,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-09,1357.68115234375,1.7060213005990257,8810300,11961578256.49414,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-10,1255.1982421875,-7.548378349315287,2051700,2575290233.4960938,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-11,1281.4759521484375,2.093510736211824,2227000,2853846945.4345703,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-12,1261.3297119140625,-1.5721122351612715,1251700,1578806400.402832,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-15,1188.6279296875,-5.763899917670045,643800,765238661.1328125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-16,1162.3504638671875,-2.210739388163385,391500,455060206.6040039,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-17,1184.2484130859375,1.8839368933440737,303700,359656243.0541992,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-18,1176.365234375,-0.6656693497604449,199000,234096681.640625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-19,1387.4627685546875,17.944897384853697,5318300,7378943242.004395,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-22,1313.8851318359375,-5.303035035339754,1680200,2207589798.510742,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-23,1241.183349609375,-5.533343856701823,580100,720010461.1083984,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-24,1227.168701171875,-1.1291360331179612,314200,385576405.9082031,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-25,1216.6575927734375,-0.8565332857984442,167000,203181817.9931641,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-26,1255.1982421875,3.167748234423695,183900,230830956.73828125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-29,1198.2633056640625,-4.535931824140704,235200,281831529.4921875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-30,1198.2633056640625,0.0,134000,160567282.95898438,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-03-31,1219.285400390625,1.7543802457434363,99400,121196968.79882812,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-01,1225.4168701171875,0.5028740379076302,84100,103057558.77685548,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-02,1253.4462890625,2.2873374464505325,156700,196415033.4960937,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-05,1282.351806640625,2.306083462079944,115700,148368104.0283203,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-06,1254.322265625,-2.185791829549022,94400,118408021.875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-07,1242.935302734375,-0.9078179669362084,81300,101050640.11230467,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-08,1228.9205322265625,-1.127554304474332,66100,81231647.18017578,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-09,1246.4388427734375,1.4255039351596777,56000,69800575.1953125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-12,1193.8836669921875,-4.216426348228208,107100,127864940.73486328,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-13,1274.4686279296875,6.749816851127699,266600,339773336.2060547,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-14,1320.0167236328125,3.5738891256284377,374000,493686254.6386719,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-15,1246.4388427734375,-5.574011263802903,597800,745121140.2099609,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-16,1238.5557861328125,-0.6324463238873812,178300,220834496.66748047,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-19,1239.431640625,0.070715788662401,197700,245035635.3515625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-20,1273.592529296875,2.756173680917895,646100,822868133.1787109,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-21,1226.2928466796875,-3.7138787743439927,169700,208101896.08154297,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-22,1298.994384765625,5.928562519367575,364700,473743252.1240234,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-23,1238.5557861328125,-4.652722085763084,915900,1134393244.519043,13.467976,4858451456.0,5.682,505.0,89.62,,,
2021-04-26,1243.811279296875,0.4243242995514817,139300,173262911.2060547,13.467976,4858451456.0,5.682,505.0,89.62,,,
