日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,ROA,ROE,配当利回り,EPS,开盘,最高,最低
2018-01-01,1937.227294921875,,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-02,1937.227294921875,0.0,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-03,1937.227294921875,0.0,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-04,1922.3636474609373,-0.76726399116408,89000,171090364.62402344,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-05,1900.0682373046875,-1.159791498642715,106400,202167260.44921875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-08,1900.0682373046875,0.0,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-09,1909.977294921875,0.5215106185472607,165600,316292240.0390625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-10,1895.1136474609373,-0.7782106887058826,87800,166390978.2470703,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-11,1853.0,-2.2222227947839013,84800,157134400.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-12,1838.1363525390625,-0.8021396363161126,68200,125360899.24316406,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-15,1897.5909423828125,3.23450378213912,124200,235680795.0439453,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-16,1835.6590576171875,-3.2637110234019606,103000,189072882.9345703,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-17,1835.6590576171875,0.0,56200,103164039.03808594,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-18,1838.1363525390625,0.1349539780600928,238400,438211706.4453125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-19,1976.8636474609373,7.547171064336311,445400,880495068.5791016,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-22,1944.6590576171875,-1.6290749179951436,291800,567451513.0126953,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-23,2006.5909423828125,3.1847168542495474,360600,723576693.8232422,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-24,1927.3182373046875,-3.9506161123197936,232400,447908758.3496094,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-25,2073.477294921875,7.583545612144871,542000,1123824693.8476562,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-26,2105.681884765625,1.5531681934797037,498000,1048629578.6132812,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-29,2068.522705078125,-1.764710042687001,205200,424460859.0820313,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-30,1984.2955322265625,-4.071851502755508,223200,442894762.7929688,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-01-31,1986.772705078125,0.1248389068730482,119600,237618015.5273437,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-01,1984.2955322265625,-0.1246832536621278,141000,279785670.0439453,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-02,1914.931884765625,-3.4956308843322903,133400,255451913.4277344,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-05,1840.6136474609373,-3.880985945031856,151200,278300783.4960937,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-06,1719.227294921875,-6.594884956248737,259000,445279869.3847656,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-07,1719.227294921875,0.0,113400,194960375.24414065,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-08,1741.522705078125,1.2968273725123105,72000,125389634.765625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-09,1734.0909423828125,-0.4267393513528228,51800,89825910.81542969,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-12,1734.0909423828125,0.0,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-13,1687.022705078125,-2.7142888619215766,46400,78277853.515625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-14,1684.54541015625,-0.1468441956600896,62600,105452542.67578124,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-15,1642.431884765625,-2.499993478164464,39600,65040302.63671875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-16,1704.3636474609375,3.77073553367786,143600,244746619.77539065,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-19,1758.8636474609375,3.197674397784245,70200,123472228.0517578,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-20,1753.9090576171875,-0.2816926628111504,45800,80329034.83886719,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-21,1771.25,0.9887024818932888,61000,108046250.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-22,1748.95458984375,-1.2587387526464378,26600,46522192.08984375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-23,1746.477294921875,-0.1416443249161902,29200,50997137.01171875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-26,1838.1363525390625,5.248224977427363,84600,155506335.4248047,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-27,1947.1363525390625,5.929919173266751,263600,513265142.5292969,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-02-28,1969.431884765625,1.1450421639701336,156800,308806919.53125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-01,1905.022705078125,-3.2704446488214134,45200,86107026.26953125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-02,1823.272705078125,-4.29128743621181,77000,140391998.29101562,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-05,1813.3636474609373,-0.5434764415432225,71400,129474164.42871094,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-06,1830.70458984375,0.9562859830731352,22800,41740064.6484375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-07,1808.4090576171875,-1.2178661893487377,18800,33998090.283203125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-08,1825.75,0.9589059681918144,17600,32133200.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-09,1825.75,0.0,20200,36880150.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-12,1813.3636474609373,-0.6784254437388726,11200,20309672.8515625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-13,1845.5682373046875,1.7759587211777728,19800,36542251.09863281,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-14,1927.3182373046875,4.429530068169663,110800,213546860.6933593,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-15,1969.431884765625,2.185090487175212,100600,198124847.60742188,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-16,1964.477294921875,-0.2515745724478102,123200,242023602.734375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-19,1944.6590576171875,-1.008830051429821,45000,87509657.59277344,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-20,1895.1136474609373,-2.5477684616324714,32400,61401682.177734375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-21,1895.1136474609373,0.0,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-22,1892.6363525390625,-0.130720124631789,17600,33310399.8046875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-23,1813.3636474609373,-4.188480527269645,66400,120407346.19140624,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-26,1813.3636474609373,0.0,43200,78337309.5703125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-27,1813.3636474609373,0.0,48600,88129473.26660156,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-28,1816.33642578125,0.1639372403033911,12900,23430739.892578125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-29,1832.19091796875,0.8728830167396229,19700,36094161.083984375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-03-30,1832.19091796875,0.0,24800,45438334.765625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-02,1813.3636474609373,-1.027582350898526,37100,67275791.32080078,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-03,1801.4727783203125,-0.6557354978012575,13700,24680177.06298828,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-04,1784.6273193359375,-0.9350937292586624,19300,34443307.263183594,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-05,1818.3182373046875,1.887840536997176,20700,37639187.51220703,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-06,1795.52734375,-1.2534051018742831,10400,18673484.375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-09,1800.4818115234375,0.2759338525633259,8200,14763950.854492188,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-10,1775.7091064453125,-1.3758931037000657,24300,43149731.28662109,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-11,1778.681884765625,0.167413587592824,10000,17786818.84765625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-12,1786.609130859375,0.4456809371955028,15800,28228424.267578125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-13,1781.654541015625,-0.2773180634852545,25300,45075859.88769531,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-16,1787.5999755859375,0.3337029953586423,20900,37360839.489746094,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-17,1758.8636474609375,-1.6075368380770283,24700,43443932.09228516,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-18,1766.7908935546875,0.4507027082624404,10600,18727983.471679688,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-19,1776.7000732421875,0.5608575255650727,22600,40153421.65527344,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-20,1805.4364013671875,1.6173989385029452,27600,49830044.677734375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-23,1833.181884765625,1.536774343168612,34200,62694820.458984375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-24,1839.1273193359373,0.3243232229011905,28400,52231215.86914063,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-25,1815.345458984375,-1.2931057084264008,11800,21421076.416015625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-26,1782.6455078125,-1.8013073495206533,23200,41357375.78125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-27,1793.54541015625,0.611445309568337,18900,33898008.251953125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-04-30,1793.54541015625,0.0,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-05-01,1844.081787109375,2.817680370229514,21700,40016574.78027344,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-05-02,1847.0545654296875,0.1612064248501798,25200,46545775.048828125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-05-03,1847.0545654296875,0.0,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-05-04,1847.0545654296875,0.0,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-05-07,1952.0909423828125,5.686695938443487,61000,119077547.48535156,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-05-08,1920.3818359375,-1.6243662504066947,18800,36103178.515625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-05-09,1948.1273193359373,1.444789930794799,18900,36819606.33544922,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-05-10,1920.3818359375,-1.4242130441400105,10400,19971971.09375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-05-11,1891.6455078125,-1.496386165877861,23000,43507846.6796875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-05-14,1913.4454345703125,1.1524319259490712,18100,34633362.365722656,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-05-15,1853.990966796875,-3.10719431551435,33000,61181701.90429688,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
