日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,开盘,最高,最低
2023-12-25,861.0811157226562,,1255600,1081173448.9013672,13.718018,2.1453426,5374756864.0,,,
2023-12-26,808.45947265625,-6.111113355707943,632400,511269770.5078125,13.718018,2.1453426,5374756864.0,,,
2023-12-27,774.9729614257812,-4.1420148273415,357800,277285325.59814453,13.718018,2.1453426,5374756864.0,,,
2023-12-28,789.3243408203125,1.85185549804574,120800,95350380.37109376,13.718018,2.1453426,5374756864.0,,,
2023-12-29,806.5459594726562,2.1818177600409605,276600,223090612.39013672,13.718018,2.1453426,5374756864.0,,,
2024-01-04,801.76220703125,-0.5931159142541609,52800,42333044.53125,13.718018,2.1453426,5374756864.0,,,
2024-01-05,818.0270385742188,2.02863534852733,109300,89410355.31616211,13.718018,2.1453426,5374756864.0,,,
2024-01-09,961.54052734375,17.543856376638622,1454800,1398849159.1796875,13.718018,2.1453426,5374756864.0,,,
2024-01-10,1057.2161865234375,9.95024717720332,12005900,12692831813.781738,13.718018,2.1453426,5374756864.0,,,
2024-01-11,991.2000122070312,-6.244340103559576,4852300,4809599819.232178,13.718018,2.1453426,5374756864.0,,,
2024-01-12,873.5189208984375,-11.872587758202505,1942700,1696985207.6293943,13.718018,2.1453426,5374756864.0,,,
2024-01-15,911.7892456054688,4.381167229631289,556200,507137178.4057617,13.718018,2.1453426,5374756864.0,,,
2024-01-16,862.99462890625,-5.351523604209318,450300,388606481.3964844,13.718018,2.1453426,5374756864.0,,,
2024-01-17,819.9405517578125,-4.988916003220522,452100,370695123.44970703,13.718018,2.1453426,5374756864.0,,,
2024-01-18,851.5135498046875,3.850644778964507,261800,222926247.3388672,13.718018,2.1453426,5374756864.0,,,
2024-01-19,843.8594970703125,-0.8988762112042248,251500,212230663.5131836,13.718018,2.1453426,5374756864.0,,,
2024-01-22,845.77294921875,0.2267500875537509,136300,115278852.97851562,13.718018,2.1453426,5374756864.0,,,
2024-01-23,878.302734375,3.8461605075331473,276400,242762875.78125,13.718018,2.1453426,5374756864.0,,,
2024-01-24,971.1080932617188,10.56644312427868,4556400,4424756916.137695,13.718018,2.1453426,5374756864.0,,,
2024-01-25,928.0540771484376,-4.43349369776882,1836000,1703907285.6445312,13.718018,2.1453426,5374756864.0,,,
2024-01-26,944.3189697265624,1.7525802621438658,357300,337405167.8833008,13.718018,2.1453426,5374756864.0,,,
2024-01-29,889.7838134765625,-5.775077913111415,313600,279036203.90625,13.718018,2.1453426,5374756864.0,,,
2024-01-30,918.4865112304688,3.225805787785596,209000,191963680.847168,13.718018,2.1453426,5374756864.0,,,
2024-01-31,945.2756958007812,2.9166660852127047,307000,290199638.61083984,13.718018,2.1453426,5374756864.0,,,
2024-02-01,948.14599609375,0.303646894310261,158800,150565584.1796875,13.718018,2.1453426,5374756864.0,,,
2024-02-02,918.4865112304688,-3.1281558942899967,154100,141538771.38061523,13.718018,2.1453426,5374756864.0,,,
2024-02-05,908.9189453125,-1.041666459004542,127400,115796273.6328125,13.718018,2.1453426,5374756864.0,,,
2024-02-06,912.7459716796876,0.421052546756151,102600,93647736.69433594,13.718018,2.1453426,5374756864.0,,,
2024-02-07,919.4432983398438,0.7337558168382108,68400,62889921.60644531,13.718018,2.1453426,5374756864.0,,,
2024-02-08,865.8648681640625,-5.827268551799003,312400,270496184.8144531,13.718018,2.1453426,5374756864.0,,,
2024-02-09,859.1676025390625,-0.7734770021562976,105100,90298515.02685548,13.718018,2.1453426,5374756864.0,,,
2024-02-13,860.1243286132812,0.1113549988839723,169800,146049110.99853516,13.718018,2.1453426,5374756864.0,,,
2024-02-14,901.264892578125,4.783095024317219,210200,189445880.41992188,13.718018,2.1453426,5374756864.0,,,
2024-02-15,846.7297973632812,-6.050950798587385,387600,328192469.4580078,13.718018,2.1453426,5374756864.0,,,
2024-02-16,828.5513916015625,-2.1468957178932824,101900,84429386.80419922,13.718018,2.1453426,5374756864.0,,,
2024-02-19,851.5135498046875,2.771361974148623,121100,103118290.88134766,13.718018,2.1453426,5374756864.0,,,
2024-02-20,888.8270263671875,4.382017945698991,182000,161766518.79882812,13.718018,2.1453426,5374756864.0,,,
2024-02-21,866.8216552734375,-2.475776550550035,105900,91796413.29345705,13.718018,2.1453426,5374756864.0,,,
2024-02-22,1010.3351440429688,16.5562878934145,70100,70824493.59741211,13.718018,2.1453426,5374756864.0,,,
2024-02-26,1034.254150390625,2.367432874990527,2318800,2398228523.925781,13.718018,2.1453426,5374756864.0,,,
2024-02-27,992.15673828125,-4.0703159947171,519800,515723072.55859375,13.718018,2.1453426,5374756864.0,,,
2024-02-28,973.9783935546876,-1.832204935487669,204000,198691592.28515625,13.718018,2.1453426,5374756864.0,,,
2024-02-29,1023.729736328125,5.108054049521793,358100,366597618.5791016,13.718018,2.1453426,5374756864.0,,,
2024-03-01,995.0270385742188,-2.803737816277174,202000,200995461.7919922,13.718018,2.1453426,5374756864.0,,,
2024-03-04,964.4108276367188,-3.0769225107058595,150600,145240270.64208984,13.718018,2.1453426,5374756864.0,,,
2024-03-05,936.6648559570312,-2.876986745127985,173400,162417686.02294922,13.718018,2.1453426,5374756864.0,,,
2024-03-06,1028.5135498046875,9.80592933144806,267100,274715969.15283203,13.718018,2.1453426,5374756864.0,,,
2024-03-07,1099.3134765625,6.883713566171035,1943600,2136625673.046875,13.718018,2.1453426,5374756864.0,,,
2024-03-08,987.373046875,-10.182757882449724,1043000,1029830087.890625,13.718018,2.1453426,5374756864.0,,,
2024-03-11,897.4378662109375,-9.108531061153036,362100,324962251.35498047,13.718018,2.1453426,5374756864.0,,,
2024-03-12,910.8324584960938,1.4925370089084122,152900,139266282.90405273,13.718018,2.1453426,5374756864.0,,,
2024-03-13,894.5675659179688,-1.7857172772455354,108900,97418407.9284668,13.718018,2.1453426,5374756864.0,,,
2024-03-14,958.6702880859376,7.165777590224742,245900,235737023.84033203,13.718018,2.1453426,5374756864.0,,,
2024-03-15,931.8811645507812,-2.7944042772664712,104800,97661146.04492188,13.718018,2.1453426,5374756864.0,,,
2024-03-18,909.8756713867188,-2.3614055097540665,85300,77612394.76928711,13.718018,2.1453426,5374756864.0,,,
2024-03-19,881.1729736328125,-3.154573603463995,177700,156584437.41455078,13.718018,2.1453426,5374756864.0,,,
2024-03-21,876.3892211914062,-0.5428846077387361,88100,77209890.38696289,13.718018,2.1453426,5374756864.0,,,
2024-03-22,857.2540893554688,-2.1834056573544203,111700,95755281.78100586,13.718018,2.1453426,5374756864.0,,,
2024-03-25,890.7405395507812,3.906245605721104,165900,147773855.5114746,13.718018,2.1453426,5374756864.0,,,
2024-03-26,869.69189453125,-2.363050078549977,93900,81664068.89648438,13.718018,2.1453426,5374756864.0,,,
2024-03-27,861.0811157226562,-0.9900953271773094,76500,65872705.3527832,13.718018,2.1453426,5374756864.0,,,
2024-03-28,875.6757202148438,1.6949163354882169,44900,39317839.83764648,13.718018,2.1453426,5374756864.0,,,
2024-03-29,891.2432861328125,1.7777774989752304,51900,46255526.55029297,13.718018,2.1453426,5374756864.0,,,
2024-04-01,895.1351318359375,0.4366760191835128,79100,70805188.92822266,13.718018,2.1453426,5374756864.0,,,
2024-04-02,866.9189453125,-3.152170607533366,112700,97701765.13671876,13.718018,2.1453426,5374756864.0,,,
2024-04-03,860.1080932617188,-0.7856388521219948,90200,77581750.01220703,13.718018,2.1453426,5374756864.0,,,
2024-04-04,785.189208984375,-8.710403362586083,335300,263273941.7724609,13.718018,2.1453426,5374756864.0,,,
2024-04-05,755.0270385742188,-3.84138880986028,213100,160896261.92016602,13.718018,2.1453426,5374756864.0,,,
2024-04-08,747.2432861328125,-1.0309236681251832,93700,70016695.91064453,13.718018,2.1453426,5374756864.0,,,
2024-04-09,747.2432861328125,0.0,60800,45432391.796875,13.718018,2.1453426,5374756864.0,,,
2024-04-10,745.2973022460938,-0.2604217291519273,70900,52841578.72924805,13.718018,2.1453426,5374756864.0,,,
2024-04-11,746.270263671875,0.130546752664884,34200,25522443.017578125,13.718018,2.1453426,5374756864.0,,,
2024-04-12,742.37841796875,-0.5215062012488558,50600,37564347.94921875,13.718018,2.1453426,5374756864.0,,,
2024-04-15,733.6216430664062,-1.1795567719093292,49500,36314271.33178711,13.718018,2.1453426,5374756864.0,,,
2024-04-16,725.8378295898438,-1.0610119739689727,99700,72366031.61010742,13.718018,2.1453426,5374756864.0,,,
2024-04-17,722.9189453125,-0.4021400040547851,79100,57182888.57421875,13.718018,2.1453426,5374756864.0,,,
2024-04-18,758.9189453125,4.979811392885569,140100,106324544.23828124,13.718018,2.1453426,5374756864.0,,,
2024-04-19,725.8378295898438,-4.358978771973399,90500,65688323.57788086,13.718018,2.1453426,5374756864.0,,,
2024-04-22,729.729736328125,0.5361950809977145,36500,26635135.37597656,13.718018,2.1453426,5374756864.0,,,
2024-04-23,737.5135498046875,1.066670726031993,27100,19986617.19970703,13.718018,2.1453426,5374756864.0,,,
2024-04-24,732.648681640625,-0.6596310217420243,40900,29965331.07910156,13.718018,2.1453426,5374756864.0,,,
2024-04-25,766.7026977539062,4.648068981305453,90200,69156583.33740234,13.718018,2.1453426,5374756864.0,,,
2024-04-26,776.4324340820312,1.269036401805912,161200,125160908.37402344,13.718018,2.1453426,5374756864.0,,,
2024-04-30,793.9459838867188,2.255643767045057,66300,52638618.73168945,13.718018,2.1453426,5374756864.0,,,
2024-05-01,779.3513793945312,-1.838236452905828,231400,180341909.19189453,13.718018,2.1453426,5374756864.0,,,
2024-05-02,765.729736328125,-1.747817919689676,113200,86680606.15234375,13.718018,2.1453426,5374756864.0,,,
2024-05-07,784.2162475585938,2.4142344685628148,113600,89086965.72265625,13.718018,2.1453426,5374756864.0,,,
2024-05-08,788.1080932617188,0.496272005998466,221700,174723564.27612305,13.718018,2.1453426,5374756864.0,,,
2024-05-09,757.9459838867188,-3.8271538679635952,102600,77765257.94677734,13.718018,2.1453426,5374756864.0,,,
2024-05-10,760.8648681640625,0.3851045245171436,49200,37434551.51367188,13.718018,2.1453426,5374756864.0,,,
2024-05-13,770.5946044921875,1.2787732401947416,81700,62957579.18701172,13.718018,2.1453426,5374756864.0,,,
2024-05-14,778.37841796875,1.0101048503566856,67300,52384867.52929688,13.718018,2.1453426,5374756864.0,,,
2024-05-15,785.189208984375,0.8749974123638093,96000,75378164.0625,13.718018,2.1453426,5374756864.0,,,
2024-05-16,809.5135498046875,3.097895455259181,805300,651901261.6577148,13.718018,2.1453426,5374756864.0,,,
2024-05-17,763.7838134765625,-5.649039023393532,121700,92952490.10009766,13.718018,2.1453426,5374756864.0,,,
2024-05-20,783.2432861328125,2.547772329407594,62200,48717732.39746094,13.718018,2.1453426,5374756864.0,,,
2024-05-21,717.0811157226562,-8.447205559440608,249700,179055154.59594727,13.718018,2.1453426,5374756864.0,,,
2024-05-22,671.3513793945312,-6.377205496764438,184500,123864329.49829102,13.718018,2.1453426,5374756864.0,,,
2024-05-23,684.9729614257812,2.0289795253768395,56000,38358485.83984375,13.718018,2.1453426,5374756864.0,,,
2024-05-24,683.0270385742188,-0.2840875423041566,50000,34151351.92871094,13.718018,2.1453426,5374756864.0,,,
2024-05-27,698.5946044921875,2.279201999157343,63700,44500476.30615234,13.718018,2.1453426,5374756864.0,,,
2024-05-28,683.0270385742188,-2.228411988564516,35000,23905946.350097656,13.718018,2.1453426,5374756864.0,,,
