日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,配当利回り,EPS,开盘,最高,最低
2018-01-01,1292.1949462890625,,0,0.0,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-02,1292.1949462890625,0.0,0,0.0,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-03,1292.1949462890625,0.0,0,0.0,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-04,1329.454345703125,2.88341937267782,27300,36294103.63769531,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-05,1357.99365234375,2.1466932454556,16800,22814293.359375,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-08,1357.99365234375,0.0,0,0.0,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-09,1415.072265625,4.203157590813356,30600,43301211.328125,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-10,1419.0360107421875,0.2801090243569115,13100,18589371.740722656,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-11,1452.3319091796875,2.3463744531814656,40600,58964675.51269531,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-12,1483.2493896484375,2.128816441567616,27700,41086008.09326172,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-15,1439.647705078125,-2.939605765194153,24200,34839474.462890625,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-16,1403.9736328125,-2.4779723636408013,32400,45488745.703125,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-17,1419.828857421875,1.129310710601672,18000,25556919.43359375,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-18,1471.35791015625,3.6292439377476393,40900,60178538.52539063,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-19,1511.7884521484375,2.747838694658178,31300,47318978.552246094,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-22,1480.8709716796875,-2.045093043594326,13600,20139845.21484375,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-23,1600.5775146484375,8.083522822584065,45900,73466507.92236328,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-24,1620.396484375,1.2382386698038594,17800,28843057.421875,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-25,1635.4588623046875,0.9295489144125924,15200,24858974.70703125,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-26,1629.11669921875,-0.3877910494795356,17200,28020807.2265625,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-29,1617.2252197265625,-0.7299341721737962,14400,23288043.1640625,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-30,1642.59375,1.5686454776983272,20100,33016134.375,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-01-31,1585.5152587890625,-3.4749000604037072,14600,23148522.778320312,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-02-01,1662.4124755859375,4.849982765577754,25300,42059035.63232422,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-02-02,1609.2978515625,-3.195032809454623,14600,23495748.6328125,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-02-05,1565.6961669921875,-2.709360764259938,29900,46814315.393066406,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
2018-02-06,1425.378173828125,-8.962019331862026,52200,74404740.67382812,9.863773,2.4322684,16876177408.0,-4.31,4.833,5.785,262.0,277.48,,,
