日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,EPS,开盘,最高,最低
2018-01-01,3143.27197265625,,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-02,3143.27197265625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-03,3143.27197265625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-04,3114.60986328125,-0.9118558503475204,5600,17441815.234375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-05,3105.0556640625,-0.3067542850674898,1200,3726066.796875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-08,3105.0556640625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-09,3014.292724609375,-2.9230696410245782,12300,37075800.51269531,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-10,3152.825927734375,4.595877566700257,2900,9143195.190429688,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-11,2918.75244140625,-7.424243890823701,15600,45532538.0859375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-12,2875.75927734375,-1.4729979649039993,5800,16679403.80859375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-15,2866.20556640625,-0.3322152522558963,6200,17770474.51171875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-16,2952.19140625,2.9999885860092723,9400,27750599.21875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-17,2909.1982421875,-1.4563135700307317,1700,4945637.01171875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-18,2995.1845703125,2.9556709775936385,3200,9584590.625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-19,3105.0556640625,3.668257870951064,4000,12420222.65625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-22,3109.832763671875,0.1538490811828108,4400,13683264.16015625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-23,3105.0556640625,-0.1536127493793171,5600,17388311.71875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-24,3105.0556640625,0.0,4100,12730728.22265625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-25,3205.372802734375,3.2307678033902,10900,34938563.54980469,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-26,3181.48779296875,-0.7451554385577097,2600,8271868.26171875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-29,3105.0556640625,-2.402402079780685,3400,10557189.2578125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-30,3109.832763671875,0.1538490811828108,2300,7152615.3564453125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-01-31,3148.048828125,1.2288784432254118,1100,3462853.7109375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-02-01,3105.0556640625,-1.365708297736512,900,2794550.09765625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-02-02,3119.386962890625,0.4615472435484324,400,1247754.78515625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-02-05,3090.724853515625,-0.9188378907771022,4800,14835479.296875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-02-06,2956.968505859375,-4.327669203685513,12100,35779318.92089844,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-02-07,2772.575927734375,-6.2358654736977215,1200,3327091.11328125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-02-08,2772.575927734375,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
