日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,ROE,配当利回り,EPS,开盘,最高,最低
2018-01-01,1239.7833251953125,,0,0.0,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-02,1239.7833251953125,0.0,0,0.0,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-03,1239.7833251953125,0.0,0,0.0,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-04,1253.123046875,1.0759720193515232,19200,24059962.5,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-05,1226.4439697265625,-2.129006980995918,29300,35934808.31298828,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-08,1226.4439697265625,0.0,0,0.0,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-09,1211.5352783203125,-1.2156031399929268,13900,16840340.368652344,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-10,1195.841796875,-1.2953383798340656,8500,10164655.2734375,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-11,1193.48779296875,-0.1968491076663747,6200,7399624.31640625,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-12,1164.454833984375,-2.432614657260701,17800,20727296.044921875,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-15,1176.2249755859375,1.0107855846404057,6400,7527839.84375,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-16,1185.64111328125,0.8005388331957297,7300,8655180.126953125,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-17,1188.77978515625,0.2647236031073419,12400,14740869.3359375,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-18,1187.21044921875,-0.1320123337472223,13000,15433735.83984375,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-19,1182.50244140625,-0.3965605100256786,5000,5912512.20703125,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-22,1192.7032470703125,0.8626456324209775,11100,13239006.042480469,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-23,1193.48779296875,0.0657788012537574,4600,5490043.84765625,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-24,1198.19580078125,0.3944747353292088,10000,11981958.0078125,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-25,1189.5643310546875,-0.720372223048571,9900,11776686.877441406,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-26,1193.48779296875,0.3298234329692784,9700,11576831.591796877,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-29,1178.578857421875,-1.2491904512730412,7800,9192915.087890623,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-30,1177.7943115234375,-0.0665671111862331,22200,26147033.715820312,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-01-31,1152.684814453125,-2.131908502583457,26200,30200342.138671875,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-01,1184.8565673828125,2.7910277403065287,22200,26303815.79589844,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-02,1172.3018798828125,-1.059595553218029,11800,13833162.182617188,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-05,1120.51318359375,-4.417692846678667,18600,20841545.21484375,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-06,1050.677490234375,-6.232474046882297,35500,37299050.90332031,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-07,1053.81591796875,0.2987051463027912,24100,25396963.623046875,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-08,1044.4000244140625,-0.8935045859657209,21400,22350160.522460938,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-09,1030.2760009765625,-1.352357631878065,32300,33277914.83154297,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-12,1030.2760009765625,0.0,0,0.0,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-13,1033.41455078125,0.3046319434513167,13300,13744413.525390623,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-14,1013.7976684570312,-1.8982587684089225,14600,14801445.959472656,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-15,1020.859619140625,0.6965838355440068,13500,13781604.858398438,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-16,1018.5056762695312,-0.2305843846654776,25200,25666343.041992188,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-19,1030.2760009765625,1.1556464515880105,21800,22460016.821289062,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-20,1032.6298828125,0.2284709955105546,6500,6712094.23828125,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-21,1027.13720703125,-0.5319113723776803,8000,8217097.65625,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-22,1031.84521484375,0.4583621136758919,10700,11040743.798828123,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-23,1033.41455078125,0.1520902471537466,6200,6407170.21484375,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-26,1042.0460205078125,0.8352378742913169,26200,27301605.737304688,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-27,1064.801513671875,2.183732072886113,12800,13629459.375,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-02-28,1064.801513671875,0.0,25000,26620037.841796875,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-01,1031.060546875,-3.168756464340683,14200,14641059.765625,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-02,1013.7976684570312,-1.6742836752206336,24800,25142182.17773437,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-05,999.673583984375,-1.3931857324304795,21200,21193079.98046875,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-06,999.673583984375,0.0,14300,14295332.250976562,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-07,991.0420532226562,-0.8634349151566356,13200,13081755.102539062,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-08,982.4104614257812,-0.8709612037962389,21900,21514789.10522461,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-09,979.2719116210938,-0.3194743875317152,21000,20564710.14404297,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-12,985.5494384765624,0.6410402239636293,10800,10643933.935546877,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-13,1014.5823974609376,2.945865306285733,10300,10450198.693847656,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-14,1006.7356567382812,-0.773396102898416,6600,6644455.334472656,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-15,1005.1663208007812,-0.1558836152267151,6700,6734614.349365234,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-16,1024.7828369140625,1.951569178885082,14600,14961829.418945312,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-19,1001.242919921875,-2.297063938255784,23200,23228835.7421875,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-20,995.75048828125,-0.5485613462368866,11400,11351555.56640625,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-21,995.75048828125,0.0,0,0.0,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-22,1002.0274047851562,0.6303704168642454,8000,8016219.23828125,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-23,970.6408081054688,-3.1323092092892524,28100,27275006.707763672,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-26,988.6881713867188,1.8593245957251088,34100,33714266.64428711,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-27,1028.70654296875,4.047623177882476,31400,32301385.44921875,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-28,1005.6876831054688,-2.2376507683961044,16300,16392709.23461914,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-29,1027.118896484375,2.131000880186651,13300,13660681.323242188,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
2018-03-30,1027.912841796875,0.0772982870062666,13200,13568449.51171875,1.217005,29904064512.0,3.993,-1.691,304.0,-23.94,,,
