日期,收盘,涨跌幅,成交量,成交额,時価総額,営業利益率,ROA,ROE,开盘,最高,最低
2018-01-01,35250.0,,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-02,35250.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-03,35250.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-04,35350.0,0.2836879432624117,200,7070000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-05,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-08,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-09,36000.0,1.8387553041018467,200,7200000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-10,36000.0,0.0,400,14400000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-11,36000.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-12,36000.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-15,36400.0,1.1111111111111072,300,10920000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-16,36400.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-17,35900.0,-1.3736263736263687,500,17950000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-18,35900.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-19,35900.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-22,35900.0,0.0,100,3590000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-23,35700.0,-0.5571030640668551,100,3570000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-24,35700.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-25,36150.0,1.2605042016806678,200,7230000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-26,36150.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-29,36150.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-30,36150.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-01-31,36150.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-01,37100.0,2.6279391424619547,1000,37100000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-02,37100.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-05,35300.0,-4.851752021563338,200,7060000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-06,35500.0,0.56657223796035,200,7100000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-07,35500.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-08,35500.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-09,35250.0,-0.7042253521126751,200,7050000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-12,35250.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-13,35350.0,0.2836879432624117,100,3535000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-14,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-15,35350.0,0.0,100,3535000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-16,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-19,35450.0,0.2828854314002926,100,3545000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-20,35450.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-21,35350.0,-0.2820874471086032,100,3535000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-22,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-23,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-26,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-27,35500.0,0.4243281471004279,200,7100000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-02-28,35450.0,-0.140845070422535,100,3545000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-01,35350.0,-0.2820874471086032,100,3535000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-02,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-05,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-06,35350.0,0.0,200,7070000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-07,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-08,35900.0,1.555869872701554,100,3590000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-09,35900.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-12,35900.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-13,35900.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-14,35900.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-15,35350.0,-1.532033426183843,200,7070000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-16,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-19,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-20,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-21,35350.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-22,35350.0,0.0,300,10605000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-23,35250.0,-0.2828854314002815,100,3525000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-26,35250.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-27,35250.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-28,34200.0,-2.9787234042553234,200,6840000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-29,34200.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-03-30,35000.0,2.3391812865497075,600,21000000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-02,35000.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-03,35050.0,0.1428571428571334,200,7010000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-04,35050.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-05,37300.0,6.419400855920121,900,33570000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-06,38200.0,2.4128686327077764,100,3820000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-09,38200.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-10,38200.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-11,38200.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-12,38200.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-13,38200.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-16,38200.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-17,38200.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-18,38200.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-19,35550.0,-6.937172774869104,200,7110000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-20,35550.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-23,35550.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-24,35550.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-25,35550.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-26,35550.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-27,37300.0,4.922644163150491,400,14920000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-04-30,37300.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-01,37300.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-02,38000.0,1.87667560321716,200,7600000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-03,38000.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-04,38000.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-07,38500.0,1.3157894736842035,400,15400000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-08,38200.0,-0.7792207792207795,400,15280000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-09,38200.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-10,38200.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-11,40000.0,4.712041884816753,1500,60000000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-14,43100.0,7.74999999999999,1900,81890000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-15,43600.0,1.1600928074245953,1200,52320000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-16,43600.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-17,43600.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-18,43600.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-21,45800.0,5.045871559633031,800,36640000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-22,45800.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-23,47600.0,3.9301310043668094,600,28560000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-24,47600.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-25,44500.0,-6.512605042016806,800,35600000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-28,44500.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-29,44500.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-30,44500.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
2018-05-31,45400.0,2.022471910112356,100,4540000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-06-01,42400.0,-6.607929515418498,800,33920000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-06-04,41300.0,-2.594339622641506,500,20650000.0,26499999744.0,88.33,0.296,39.009997,,,
2018-06-05,41300.0,0.0,0,0.0,26499999744.0,88.33,0.296,39.009997,,,
