日期,收盘,涨跌幅,成交量,成交额,PER,PBR,営業利益率,配当利回り,EPS,开盘,最高,最低
2025-12-17,1623.0,,106883200,173471433600.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2025-12-18,1800.0,10.905730129390022,79182300,142528140000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2025-12-19,1731.0,-3.833333333333333,53695000,92946045000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2025-12-22,1721.0,-0.5777007510109788,22891900,39396959900.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2025-12-23,1681.0,-2.324230098779778,14761500,24814081500.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2025-12-24,1746.0,3.8667459845330265,12374400,21605702400.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2025-12-25,1720.0,-1.4891179839633395,10789000,18557080000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2025-12-26,1789.0,4.0116279069767335,13189700,23596373300.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2025-12-29,1757.0,-1.7887087758524325,8482500,14903752500.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2025-12-30,1740.0,-0.9675583380762688,7793700,13561038000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-05,1749.0,0.5172413793103514,6694600,11708855400.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-06,1798.0,2.801600914808456,12897000,23188806000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-07,1915.0,6.507230255839813,18588300,35596594500.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-08,1902.0,-0.6788511749347248,11444400,21767248800.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-09,1982.0,4.206098843322814,20037300,39713928600.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-13,1990.0,0.4036326942482349,19617200,39038228000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-14,1960.0,-1.5075376884422065,12731900,24954524000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-15,2031.0,3.62244897959183,14039500,28514224500.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-16,2125.0,4.6282619399310665,15076400,32037350000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-19,2081.0,-2.070588235294113,11122100,23145090100.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-20,1943.0,-6.631427198462281,18717600,36368296800.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-21,1900.0,-2.21307256819352,12463000,23679700000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-22,1890.0,-0.5263157894736858,8703900,16450371000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-23,1925.0,1.85185185185186,6635000,12772375000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-26,1872.0,-2.753246753246752,6791300,12713313600.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-27,1900.0,1.4957264957264904,4777400,9077060000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-28,1849.0,-2.684210526315789,5140000,9503860000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-29,1934.0,4.597079502433754,26486700,51225277800.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-01-30,1851.5,-4.265770423991722,10470400,19385945600.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-02-02,1802.0,-2.673507966513633,6965700,12552191400.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-02-03,1875.5,4.078801331853499,6158900,11551016950.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-02-04,1942.0,3.545721141029068,15756600,30599317200.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-02-05,2019.0,3.964984552008244,12865000,25974435000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-02-06,2120.0,5.002476473501738,10923100,23156972000.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-02-09,2091.0,-1.3679245283018893,10460900,21873741900.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-02-10,2031.0,-2.8694404591104727,12288900,24958755900.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-02-12,2039.0,0.3938946331856208,8250300,16822361700.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-02-13,2007.0,-1.5693967631191796,7905300,15865937100.0,14.321095,1.4688238,16.018,169.0,137.28,,,
2026-02-16,1966.0,0.0,6363800,12511230800.0,,,,,,2016.0,2022.0,1960.0
2026-02-17,1919.5,-2.3652085452695815,4928400,9460063800.0,,,,,,1953.0,1978.0,1915.0
2026-02-18,1902.0,-0.911695754102626,5538700,10534607400.0,,,,,,1925.5,1937.5,1895.5
