日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,EPS,开盘,最高,最低
2021-12-27,1250.0,,1393600,1742000000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2021-12-28,1500.0,20.0,3241200,4861800000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2021-12-29,1750.0,16.666666666666675,712800,1247400000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2021-12-30,2125.0,21.42857142857142,3800800,8076700000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-04,2452.5,15.411764705882348,14064000,34491960000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-05,2077.5,-15.290519877675845,8833200,18350973000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-06,1730.0,-16.726835138387486,6916000,11964680000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-07,1677.5,-3.034682080924856,9373200,15723543000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-11,1587.5,-5.365126676602083,3667200,5821680000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-12,1677.5,5.669291338582672,4411600,7400459000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-13,1755.0,4.6199701937406745,6823600,11975418000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-14,1380.0,-21.36752136752137,4183200,5772816000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-17,1130.0,-18.11594202898551,2491200,2815056000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-18,1305.0,15.486725663716804,5646400,7368552000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-19,1225.0,-6.130268199233713,4261600,5220460000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-20,1345.0,9.795918367346946,4090400,5501588000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-21,1262.5,-6.133828996282531,3137600,3961220000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-24,1410.0,11.683168316831694,5948000,8386680000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-25,1340.0,-4.964539007092195,4200400,5628536000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-26,1410.0,5.223880597014929,2573600,3628776000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-01-27,1290.0,-8.510638297872342,2576000,3323040000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
