日期,收盘,涨跌幅,成交量,成交额,時価総額,営業利益率,EPS,开盘,最高,最低
2023-09-21,1790.0,,1537200,2751588000.0,1241372032.0,0.0,-44.61,,,
2023-09-22,2190.0,22.3463687150838,634400,1389336000.0,1241372032.0,0.0,-44.61,,,
2023-09-25,1771.0,-19.1324200913242,5268000,9329628000.0,1241372032.0,0.0,-44.61,,,
2023-09-26,1597.0,-9.824957651044608,1028700,1642833900.0,1241372032.0,0.0,-44.61,,,
2023-09-27,1538.0,-3.694427050720095,395400,608125200.0,1241372032.0,0.0,-44.61,,,
2023-09-28,1477.0,-3.966189856957092,336500,497010500.0,1241372032.0,0.0,-44.61,,,
2023-09-29,1450.0,-1.8280297901150933,442300,641335000.0,1241372032.0,0.0,-44.61,,,
2023-10-02,1376.0,-5.103448275862066,208000,286208000.0,1241372032.0,0.0,-44.61,,,
2023-10-03,1238.0,-10.029069767441856,233900,289568200.0,1241372032.0,0.0,-44.61,,,
2023-10-04,1201.0,-2.988691437802904,105900,127185900.0,1241372032.0,0.0,-44.61,,,
2023-10-05,1168.0,-2.747710241465451,94800,110726400.0,1241372032.0,0.0,-44.61,,,
2023-10-06,1195.0,2.31164383561644,163600,195502000.0,1241372032.0,0.0,-44.61,,,
2023-10-10,1169.0,-2.175732217573223,84400,98663600.0,1241372032.0,0.0,-44.61,,,
2023-10-11,1188.0,1.6253207869974418,70400,83635200.0,1241372032.0,0.0,-44.61,,,
2023-10-12,1169.0,-1.5993265993266004,65000,75985000.0,1241372032.0,0.0,-44.61,,,
2023-10-13,1069.0,-8.554319931565434,89300,95461700.0,1241372032.0,0.0,-44.61,,,
2023-10-16,1027.0,-3.928905519176795,57300,58847100.0,1241372032.0,0.0,-44.61,,,
2023-10-17,1025.0,-0.1947419668938632,24900,25522500.0,1241372032.0,0.0,-44.61,,,
2023-10-18,1050.0,2.4390243902439046,19600,20580000.0,1241372032.0,0.0,-44.61,,,
2023-10-19,1067.0,1.6190476190476089,93500,99764500.0,1241372032.0,0.0,-44.61,,,
2023-10-20,1053.0,-1.3120899718837895,115400,121516200.0,1241372032.0,0.0,-44.61,,,
2023-10-23,1023.0,-2.8490028490028463,67700,69257100.0,1241372032.0,0.0,-44.61,,,
