代码,名称,PER,PBR,時価総額,営業利益率,ROA,ROE,セクター,業種,配当利回り,EPS,更新日
1301,"Kyokuyo Co., Ltd.",9.193409,0.8508314,62949896192.0,4.4689998,,,Consumer Defensive,Packaged Foods,285.0,576.5,20260216
1332,Nissui Corporation,17.234116,1.6162878,459003723776.0,4.9089998,3.6259998,10.66,Consumer Defensive,Packaged Foods,234.0,87.82,20260216
1333,Maruha Nichiro Corporation,10.407178,0.9522174,227975610368.0,3.5360000000000005,2.6550000000000002,8.513,Consumer Defensive,Farm Products,320.0,144.9,20260216
1375,"Yukiguni Factory Co., Ltd.",51.702934,2.9976578,43591925760.0,51.014,6.164,10.08,Consumer Defensive,Packaged Foods,145.0,21.14,20260216
1376,"Kaneko Seeds Co., Ltd.",13.221505,0.6694884,16855000064.0,0.72899996,2.3610001,5.234,Basic Materials,Agricultural Inputs,245.00000000000003,116.25,20260216
1377,Sakata Seed Corporation,15.848958,1.0774541,178969804800.0,9.9709995,4.287,7.039,Consumer Defensive,Farm Products,188.0,267.21,20260216
1379,Hokuto Corporation,11.583012,1.0291512,63850090496.0,16.868,3.83,10.709,Consumer Defensive,Farm Products,272.0,176.12,20260216
1380,"Akikawa Foods & Farms Co., Ltd.",44.275803,1.9158059,4256673536.0,3.325,1.3040001,6.0229998,Consumer Defensive,Farm Products,98.0,23.06,20260216
1381,"AXYZ Co., Ltd.",10.130555,1.0105381,22659227648.0,10.65,7.7810004,10.371,Consumer Defensive,Farm Products,283.0,398.3,20260216
1382,"HOB Co.,Ltd.",55.905025,1.9503096,1380869632.0,5.1009998,-0.208,-0.958,Consumer Defensive,Farm Products,276.0,32.43,20260216
1383,"Berg Earth Co.,Ltd.",108.00931,2.4591756,5201157120.0,7.502000000000001,-0.35200000000000004,2.4230001000000003,Consumer Defensive,Farm Products,31.0,30.09,20260216
1384,"Hokuryo Co., Ltd.",8.924741,2.6655824,26391711744.0,14.823,5.743,11.241999,Consumer Defensive,Farm Products,737.0,349.59,20260216
1401,Mbs Inc,21.042551,2.983957,10661265408.0,18.268,9.110999999999999,14.659001,Industrials,Engineering & Construction,169.0,73.09,20260216
1407,West Holdings Corporation,12.606348,2.0133228,67579400192.0,2.3599999,3.9899999999999998,16.728,Utilities,Utilities - Renewable,417.0,135.17,20260216
1414,"SHO-BOND Holdings Co.,Ltd.",19.494936,2.7307642,285339713536.0,23.368,9.984,13.87,Industrials,Engineering & Construction,326.0,72.07,20260216
1417,MIRAIT ONE Corporation,17.082891,1.3000536,342051520512.0,6.2829999999999995,4.004,8.816,Industrials,Engineering & Construction,229.99999999999997,225.84,20260216
1418,"Interlife Holdings Co., Ltd.",9.366524,1.9960419,8988172288.0,4.224,7.744,20.125,Industrials,Specialty Business Services,515.0,62.67,20260216
1419,"Tama Home Co., Ltd.",45.75438,4.0173583,110589820928.0,5.5809997,3.7100002,8.319,Consumer Cyclical,Residential Construction,508.0,83.38,20260216
1420,Sanyo Homes Corporation,7.452123,0.5468387,8206587392.0,-1.6660000000000001,1.3789999000000002,3.4799999999999995,Consumer Cyclical,Residential Construction,349.0,96.08,20260216
1429,"Nippon Aqua Co., Ltd.",13.107789,2.285222,26838616064.0,11.0190004,6.952000399999999,17.089,Industrials,Engineering & Construction,398.0,63.55,20260216
1430,First-corporation Inc.,10.153584,1.3001817,12841891840.0,6.929,4.058,13.269,Consumer Cyclical,Residential Construction,416.0,105.48,20260216
