序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
9,600708,光明地产,3.58,10.15,0.33,618616.0,215952099.0,10.77,3.58,3.23,3.24,3.25,3.61,2.78,-8.64,0.87,7978519540.0,7966494420.0,0.0,0.0,-1.38,-3.76
10,600759,洲际油气,3.05,10.11,0.28,5343339.0,1584527367.0,10.83,3.05,2.75,2.76,2.77,1.23,12.9,114.24,1.44,12654478304.0,12638241629.0,0.0,0.0,33.77,34.36
11,600179,安通控股,6.55,10.08,0.6,5950860.0,3743930688.0,10.08,6.55,5.95,6.07,5.95,3.93,15.41,31.31,2.42,27716501712.0,25297924142.0,0.0,0.0,79.45,131.45
12,603660,苏州科达,11.06,10.05,1.01,704430.0,764661384.0,9.05,11.06,10.15,10.15,10.05,3.9,12.33,-13.6,6.5,6368193669.0,6320709218.0,0.0,0.0,34.22,64.83
13,600858,银座股份,7.46,10.03,0.68,647634.0,478373381.0,11.21,7.46,6.7,6.7,6.78,0.82,12.51,33.02,1.43,3879696754.0,3860908296.0,0.0,0.0,35.14,35.39
14,600021,上海电力,21.86,10.02,1.99,1858823.0,3928584418.0,10.22,21.86,19.83,19.88,19.87,3.97,6.59,15.17,2.91,61671113828.0,61671113828.0,0.0,0.0,15.23,145.89
15,601969,海南矿业,11.97,10.02,1.09,903353.0,1055735733.0,9.1,11.97,10.98,10.98,10.88,1.34,4.56,57.43,3.4,23919031564.0,23728804324.0,0.0,0.0,49.07,71.49
16,600783,鲁信创投,21.1,10.01,1.92,291975.0,614681434.0,2.71,21.1,20.58,21.1,19.18,0.81,3.92,36.7,3.32,15705981103.0,15705981103.0,0.0,0.0,65.1,67.46
17,605007,五洲特纸,15.61,10.01,1.42,481784.0,744598812.0,6.41,15.61,14.7,15.61,14.19,5.92,12.0,30.78,2.16,7426107633.0,6268205397.0,0.0,0.0,34.11,24.48
18,603686,福龙马,28.57,10.01,2.6,1154810.0,3206729085.0,11.47,28.57,25.59,25.61,25.97,2.55,27.8,78.59,3.5,11868846642.0,11868846642.0,0.0,0.0,17.14,179.0
19,605598,上海港湾,68.09,10.0,6.19,169191.0,1120544436.0,8.47,68.09,62.85,63.2,61.9,1.21,6.96,157.7,9.16,16653779645.0,16547014525.0,0.0,0.0,168.39,205.34
20,600330,天通股份,13.75,10.0,1.25,3068641.0,4098597381.0,10.96,13.75,12.38,12.48,12.5,1.92,24.88,221.92,2.11,16959723220.0,16959723220.0,0.29,0.51,20.83,94.21
21,600118,中国卫星,80.0,10.0,7.27,1678123.0,12856866647.0,9.8,80.0,72.87,74.0,72.73,1.07,14.19,4790.18,14.9,94599130800.0,94599130800.0,0.0,0.0,128.83,193.15
22,600362,江西铜业,48.31,10.0,4.39,1004235.0,4737699854.0,8.58,48.31,44.54,44.54,43.92,2.14,4.84,20.83,2.07,167284457556.0,100255202136.0,0.0,0.0,61.79,147.11
23,600576,祥源文旅,6.6,10.0,0.6,676238.0,428596669.0,10.83,6.6,5.95,5.99,6.0,2.35,10.24,33.41,2.34,6960019704.0,4358574548.0,0.0,0.0,-17.81,-4.21
24,605566,福莱蒽特,32.05,9.99,2.91,59817.0,187139634.0,9.99,32.05,29.14,29.14,29.14,5.09,4.49,74.39,2.14,4273547000.0,4273547000.0,0.0,0.0,12.06,79.05
25,603069,海汽集团,30.38,9.99,2.76,592542.0,1749390086.0,11.8,30.38,27.12,27.12,27.62,1.88,18.75,-149.66,11.86,9600080000.0,9600080000.0,0.0,0.0,42.36,66.37
26,603680,今创集团,16.29,9.99,1.48,230528.0,364095152.0,11.82,16.29,14.54,14.81,14.81,1.85,2.94,19.43,2.28,12766778714.0,12766778714.0,0.0,0.0,34.63,103.63
27,600105,永鼎股份,25.88,9.99,2.35,2246956.0,5621580058.0,10.16,25.88,23.49,23.49,23.53,0.96,15.37,86.23,11.47,37836425476.0,37836425476.0,0.0,0.0,102.5,430.33
28,600345,长江通信,36.0,9.99,3.27,479794.0,1675607249.0,11.76,36.0,32.15,34.0,32.73,2.01,22.68,534.96,3.37,11866036752.0,7616134692.0,0.0,0.0,25.96,56.05
29,603978,深圳新星,31.71,9.99,2.88,297817.0,911930558.0,9.4,31.71,29.0,30.08,28.83,1.91,14.11,-81.2,4.43,6693800221.0,6693800221.0,0.0,0.0,39.94,105.78
30,603601,再升科技,13.34,9.98,1.21,4430551.0,5795106898.0,6.76,13.34,12.52,13.0,12.13,1.68,43.01,126.85,5.73,13742372512.0,13742372512.0,0.0,1.75,159.53,300.6
31,600736,苏州高新,6.61,9.98,0.6,844252.0,552817308.0,9.82,6.61,6.02,6.02,6.01,3.54,7.33,20.49,1.02,7610046115.0,7610046115.0,0.0,0.0,16.17,6.79
32,601698,中国卫通,28.31,9.98,2.57,3017666.0,8131640117.0,11.73,28.31,25.29,25.75,25.74,1.61,7.14,313.9,7.54,119592351014.0,119592351014.0,0.0,0.0,35.2,38.98
33,603626,科森科技,17.19,9.98,1.56,964177.0,1648798868.0,4.09,17.19,16.55,16.55,15.63,1.29,17.38,-62.33,4.47,9538381871.0,9538381871.0,0.0,0.0,19.87,120.38
34,603278,大业股份,12.8,9.97,1.16,441890.0,564654733.0,4.55,12.8,12.27,12.8,11.64,1.58,12.93,140.36,2.18,4374520218.0,4374520218.0,0.0,0.0,16.79,68.64
35,600755,厦门国贸,8.72,9.96,0.79,4011116.0,3248830237.0,15.89,8.72,7.46,7.8,7.93,2.32,18.81,24.22,0.95,18640055966.0,18592422007.0,0.0,0.0,42.48,38.19
