序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688317,之江生物,25.55,20.01,4.26,126409.0,314465142.0,11.09,25.55,23.19,24.3,21.29,17.09,6.58,-125.34,1.45,4909636874.0,4909636874.0,0.0,0.0,15.25,26.67
2,688323,瑞华泰,31.09,19.99,5.18,233887.0,707998176.0,10.03,31.09,28.49,28.8,25.91,4.17,12.99,-66.92,7.39,5596206964.0,5596206964.0,0.0,0.0,104.94,38.12
3,688028,沃尔德,100.86,15.97,13.89,108112.0,1039777057.0,17.9,101.57,86.0,86.0,86.97,2.28,7.16,159.92,7.76,15224716140.0,15224716140.0,-0.11,-0.09,87.47,56.28
4,688777,中控技术,85.39,14.16,10.59,525157.0,4530600753.0,12.27,89.18,80.0,80.0,74.8,2.62,6.71,117.4,6.62,67559673711.0,66879306428.0,-0.26,-0.23,64.21,73.06
5,688779,五矿新能,11.04,11.52,1.14,1161458.0,1274756920.0,12.53,11.47,10.23,10.49,9.9,2.89,6.02,-794.63,3.18,21298581558.0,21298581558.0,-0.45,-0.54,53.33,47.4
6,688717,艾罗能源,100.5,10.12,9.24,93798.0,960802433.0,7.82,106.6,99.46,101.0,91.26,2.18,9.47,80.22,3.53,16080000000.0,9954304704.0,-0.94,-1.35,43.18,63.15
7,600736,苏州高新,7.88,10.06,0.72,502539.0,393687012.0,3.91,7.88,7.6,7.88,7.16,2.91,4.37,24.43,1.22,9072188107.0,9072188107.0,0.0,0.0,34.7,16.57
8,601226,华电科工,10.62,10.05,0.97,616801.0,634704100.0,11.92,10.62,9.47,9.53,9.65,3.17,5.31,77.09,2.83,12342815694.0,12342815694.0,0.0,0.0,38.64,35.46
9,603331,百达精工,15.7,10.02,1.43,95490.0,149918986.0,0.0,15.7,15.7,15.7,14.27,2.15,4.72,39.85,2.39,3174157485.0,3174157485.0,0.0,0.0,32.71,10.18
10,603132,金徽股份,18.33,10.02,1.67,64030.0,115255048.0,6.24,18.33,17.29,17.29,16.66,1.57,0.65,38.86,5.68,17926740000.0,17926740000.0,0.0,0.0,31.59,24.95
11,600589,大位科技,10.54,10.02,0.96,1871955.0,1960621218.0,4.59,10.54,10.1,10.1,9.58,1.99,12.66,308.59,22.0,15648420641.0,15583072641.0,0.0,0.0,47.41,47.21
12,601615,明阳智能,23.82,10.02,2.17,96985.0,231017627.0,0.0,23.82,23.82,23.82,21.65,0.17,0.43,52.76,2.04,53868851537.0,53868851537.0,0.0,0.0,53.58,64.5
13,603353,和顺石油,34.93,10.02,3.18,109945.0,372524995.0,9.92,34.93,31.78,31.78,31.75,1.96,6.45,206.52,3.64,6004676580.0,5952700740.0,0.0,0.0,71.73,27.81
14,603271,永杰新材,47.14,10.01,4.29,11072.0,52194021.0,0.0,47.14,47.14,47.14,42.85,0.88,2.81,22.54,3.29,9273380800.0,1855430400.0,0.0,0.0,11.31,14.75
15,603895,天永智能,34.39,10.01,3.13,45448.0,153129067.0,10.01,34.39,31.26,31.3,31.26,6.11,4.21,229.61,19.18,3716871200.0,3716871200.0,0.0,0.0,16.62,17.94
16,600078,澄星股份,13.41,10.01,1.22,552960.0,726508693.0,6.56,13.41,12.61,12.61,12.19,1.58,8.35,243.82,5.09,9076060466.0,8885102066.0,0.0,0.0,40.71,39.83
17,603045,福达合金,28.93,10.0,2.63,59143.0,171063437.0,1.03,28.93,28.66,28.93,26.3,2.11,4.37,52.95,3.85,3918428334.0,3918428334.0,0.0,0.0,27.05,47.23
18,601869,长飞光纤,123.84,10.0,11.26,137068.0,1665876645.0,10.0,123.84,112.58,113.82,112.58,1.54,3.37,163.72,8.67,102527768575.0,50320936806.0,0.0,0.0,39.93,6.43
