序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,603248,N锡华,36.81,264.46,26.71,556408.0,1529323780.0,217.62,46.0,24.02,28.45,10.1,,80.28,78.6,7.46,16932600000.0,2551261272.0,0.0,-1.37,264.46,264.46
8,600179,安通控股,4.92,10.07,0.45,1642261.0,806539689.0,2.68,4.92,4.8,4.92,4.47,2.81,4.25,23.52,1.82,20819112737.0,19002410195.0,0.0,0.0,35.16,73.85
9,600550,保变电气,11.17,10.05,1.02,2081162.0,2193058658.0,11.72,11.17,9.98,10.08,10.15,2.11,11.3,105.72,26.27,20569873122.0,20569873122.0,0.0,0.0,36.55,42.29
10,605167,利柏特,13.92,10.04,1.27,555006.0,730075386.0,14.55,13.92,12.08,12.45,12.65,4.1,12.36,26.34,3.16,6251054400.0,6251054400.0,0.0,0.0,31.94,46.07
11,603069,海汽集团,28.88,10.02,2.63,57422.0,165834447.0,0.0,28.88,28.88,28.88,26.25,0.34,1.82,-142.27,11.28,9126080000.0,9126080000.0,0.0,0.0,34.26,58.16
12,603203,快克智能,35.73,10.01,3.25,110589.0,390412229.0,9.98,35.73,32.49,32.78,32.48,3.7,4.44,34.25,6.21,9063311746.0,8902248052.0,0.0,0.0,6.02,59.72
13,603163,圣晖集成,71.01,10.01,6.46,13753.0,95355814.0,6.83,71.01,66.6,67.5,64.55,0.41,1.38,55.68,6.38,7101000000.0,7101000000.0,0.0,0.0,65.37,176.63
14,603256,宏和科技,37.27,10.01,3.39,304874.0,1104961815.0,10.24,37.27,33.8,33.99,33.88,1.41,3.47,177.15,20.65,32787443925.0,32787443925.0,0.0,0.0,-7.52,346.35
15,603978,深圳新星,28.27,10.0,2.57,156063.0,422561224.0,10.74,28.27,25.51,25.8,25.7,1.54,7.39,-72.39,3.95,5967635833.0,5967635833.0,0.0,0.0,23.83,83.45
16,601208,东材科技,26.63,10.0,2.42,699097.0,1826026681.0,7.48,26.63,24.82,24.89,24.21,0.71,6.87,71.87,4.5,27112477919.0,27112477919.0,0.0,0.0,16.9,257.93
17,603929,亚翔集成,108.31,10.0,9.85,81428.0,875174689.0,6.41,108.31,102.0,102.0,98.46,1.36,3.82,39.17,12.38,23109021600.0,23109021600.0,0.0,0.0,168.49,320.95
18,603696,安记食品,24.44,9.99,2.22,165643.0,404830637.0,0.0,24.44,24.44,24.44,22.22,0.32,7.04,185.69,9.91,5748288000.0,5748288000.0,0.0,0.0,103.33,201.36
19,603698,航天工程,30.93,9.99,2.81,760349.0,2278360659.0,13.9,30.93,27.02,27.89,28.12,1.57,14.19,92.45,4.8,16578170700.0,16578170700.0,0.0,0.0,60.26,100.84
20,603938,三孚股份,19.37,9.99,1.76,192949.0,360966480.0,9.6,19.37,17.68,17.68,17.61,3.57,5.04,86.67,2.98,7411436507.0,7411436507.0,0.0,0.0,43.69,79.52
21,601133,柏诚股份,17.85,9.98,1.62,317804.0,555369113.0,10.84,17.85,16.09,16.09,16.23,0.99,21.27,53.17,3.22,9425128868.0,2666553380.0,0.0,0.0,38.05,62.13
22,600712,南宁百货,7.73,9.96,0.7,489352.0,374559337.0,12.38,7.73,6.86,7.0,7.03,2.35,9.08,10865.44,5.28,4210185933.0,4163751908.0,0.0,0.0,11.71,6.92
26,600578,京能电力,5.13,8.23,0.39,1636923.0,837919757.0,7.59,5.21,4.85,4.85,4.74,4.29,2.45,8.13,1.45,34343405807.0,34343405807.0,-0.19,-0.19,23.91,50.88
28,603324,盛剑科技,26.5,7.72,1.9,140266.0,369442197.0,11.34,27.06,24.27,24.59,24.6,7.09,9.5,95.58,2.33,3913508870.0,3913508870.0,0.0,0.04,0.38,2.83
29,603026,石大胜华,77.74,7.63,5.51,193733.0,1473694717.0,10.66,79.2,71.5,72.24,72.23,2.11,9.56,-218.12,3.74,18090176828.0,15756343200.0,-0.03,-0.04,85.98,122.11
30,603052,可川科技,32.74,7.34,2.24,173743.0,566590373.0,10.89,33.55,30.23,30.39,30.5,3.11,9.25,185.25,5.66,6151757013.0,6151757013.0,0.06,0.15,-3.02,29.0
32,603876,鼎胜新材,14.03,7.18,0.94,501610.0,692955560.0,9.32,14.19,12.97,12.99,13.09,2.51,5.4,31.88,1.78,13037618998.0,13037618998.0,0.0,0.07,31.12,60.34
33,603906,龙蟠科技,20.61,7.06,1.36,699037.0,1395337030.0,10.08,20.94,19.0,19.25,19.25,2.16,12.37,-95.86,4.72,14119476191.0,11646276191.0,0.0,0.34,28.73,98.94
34,601137,博威合金,21.84,6.95,1.42,441057.0,952056994.0,9.3,22.33,20.43,20.45,20.42,3.32,5.37,15.28,1.89,17942918514.0,17928067314.0,0.0,0.23,-14.82,10.3
35,600547,山东黄金,40.71,6.91,2.63,952618.0,3824194470.0,6.7,41.36,38.81,38.93,38.08,2.4,2.64,35.58,6.17,187670230963.0,147143988656.0,-0.07,-0.2,6.24,82.47
38,603421,鼎信通讯,8.43,6.17,0.49,683651.0,576789443.0,12.97,8.73,7.7,7.87,7.94,2.58,10.48,-12.26,1.96,5497966008.0,5497966008.0,0.36,0.48,3.18,18.23
39,600191,华资实业,13.46,6.15,0.78,273448.0,362242312.0,6.78,13.6,12.74,12.74,12.68,1.59,5.64,85.48,3.86,6527184720.0,6527184720.0,0.45,1.05,67.62,94.51
41,603516,淳中科技,216.34,6.01,12.27,75251.0,1615605283.0,6.34,220.0,207.06,209.66,204.07,1.06,3.7,-1128.01,31.59,43975059479.0,43975059479.0,0.0,0.16,35.21,293.13
42,600875,东方电气,24.7,6.01,1.4,1188537.0,2879474249.0,8.11,24.99,23.1,23.3,23.3,2.03,5.25,21.6,1.92,85421500052.0,55905154897.0,-0.32,0.0,32.09,59.46
44,605069,正和生态,10.78,6.0,0.61,145295.0,154106412.0,7.08,10.92,10.2,10.3,10.17,2.89,17.26,-80.65,2.68,2282102047.0,907258577.0,-0.28,-0.28,4.36,41.28
45,600284,浦东建设,8.52,5.97,0.48,503590.0,422849503.0,8.08,8.66,8.01,8.01,8.04,2.78,5.19,25.68,1.05,8266581120.0,8266581120.0,0.12,0.0,-8.78,39.9
47,603080,新疆火炬,24.14,5.83,1.33,112472.0,270724487.0,10.74,25.0,22.55,22.81,22.81,3.95,7.95,16.25,2.24,3415810000.0,3415810000.0,0.0,0.08,8.01,55.54
48,603344,星德胜,34.12,5.77,1.86,212851.0,719701028.0,8.65,35.49,32.7,35.49,32.26,4.73,39.39,37.21,3.16,6637397038.0,1843537038.0,-0.03,0.0,19.09,41.46
51,603778,国晟科技,13.87,5.64,0.74,921341.0,1249613674.0,6.09,13.93,13.13,13.4,13.13,1.1,14.33,-45.22,12.52,9107626204.0,8916428560.0,0.51,1.46,314.03,357.76
52,600858,银座股份,7.17,5.6,0.38,1001331.0,704903185.0,15.17,7.47,6.44,6.75,6.79,1.58,19.35,31.74,1.37,3728877443.0,3710819368.0,0.14,0.7,25.35,30.13
53,600808,马钢股份,4.17,5.57,0.22,1626552.0,676223874.0,7.59,4.26,3.96,3.96,3.95,3.03,2.73,287.99,1.33,32111840546.0,24885522446.0,0.24,0.24,6.65,34.95
55,600201,生物股份,16.9,5.56,0.89,718146.0,1190665103.0,5.0,16.9,16.1,16.1,16.01,0.91,6.46,87.35,3.44,18788538259.0,18788538259.0,0.0,0.12,85.51,147.44
56,600783,鲁信创投,15.85,5.53,0.83,647895.0,1045119502.0,6.59,16.52,15.53,15.6,15.02,5.58,8.7,27.57,2.49,11798094810.0,11798094810.0,0.0,-0.19,24.12,25.79
58,600076,康欣新材,3.33,5.38,0.17,1220404.0,404173070.0,7.91,3.42,3.17,3.19,3.16,2.39,9.08,-17.73,1.17,4477329412.0,4477329412.0,0.0,0.3,18.09,60.1
62,600599,*ST熊猫,10.01,5.04,0.48,5532.0,5537532.0,0.0,10.01,10.01,10.01,9.53,0.2,0.33,91.91,14.33,1661660000.0,1661660000.0,0.0,0.0,20.89,-26.51
64,603268,*ST松发,80.96,5.01,3.86,43847.0,352717588.0,4.14,80.96,77.77,80.79,77.1,1.45,3.53,46.36,9.74,78594211411.0,10052706048.0,0.0,0.0,66.14,104.14
66,603031,安孚科技,46.1,4.94,2.17,159483.0,714736493.0,6.83,46.33,43.33,44.36,43.93,1.01,7.55,51.11,3.9,11885722957.0,9732632000.0,0.11,0.17,4.42,62.55
67,600696,*ST岩石,3.62,4.93,0.17,111478.0,39834010.0,4.93,3.62,3.45,3.45,3.45,1.57,3.33,-8.12,4.21,1210779340.0,1210779340.0,0.0,0.0,-40.26,-70.57
68,603861,白云电器,12.44,4.89,0.58,469037.0,590319010.0,8.43,13.05,12.05,12.05,11.86,3.49,8.87,33.95,1.69,6724167760.0,6575615786.0,0.0,0.16,16.59,40.41
69,600355,*ST精伦,2.15,4.88,0.1,205509.0,43547829.0,4.88,2.15,2.05,2.08,2.05,0.64,4.18,-29.26,10.04,1057991780.0,1057991780.0,0.0,0.0,-36.39,-36.95
71,605255,天普股份,150.16,4.65,6.67,36045.0,547731337.0,7.97,157.0,145.56,156.0,143.49,1.07,2.69,845.91,24.95,20133452800.0,20133452800.0,-0.05,-0.28,48.54,1113.9
74,603216,梦天家居,36.6,4.57,1.6,57262.0,201221571.0,9.34,36.68,33.41,35.8,35.0,0.69,2.57,108.57,4.55,8150454000.0,8150454000.0,0.03,0.38,98.91,243.34
75,600838,上海九百,12.02,4.52,0.52,1298109.0,1491436727.0,17.74,12.65,10.61,10.99,11.5,2.88,32.38,127.14,3.06,4818601412.0,4818601412.0,0.17,0.67,39.77,23.92
76,600667,太极实业,8.12,4.5,0.35,1469578.0,1200270242.0,8.62,8.41,7.74,7.8,7.77,3.36,7.03,28.84,1.96,16983322485.0,16983322485.0,0.0,0.0,10.78,18.89
77,600711,盛屯矿业,14.66,4.49,0.63,1802327.0,2635748853.0,6.49,14.96,14.05,14.22,14.03,1.62,5.83,19.97,2.71,45308365338.0,45308365338.0,-0.07,0.07,80.32,207.34
78,605116,奥锐特,23.03,4.49,0.99,47608.0,108475527.0,5.4,23.19,22.0,22.04,22.04,3.74,1.17,19.84,3.71,9354676239.0,9354399879.0,-0.04,-0.04,2.81,10.56
79,603186,华正新材,44.69,4.46,1.91,79836.0,352639771.0,6.87,45.52,42.58,42.62,42.78,1.31,5.62,76.03,4.33,6347017210.0,6347017210.0,0.0,0.02,0.79,85.51
80,600228,*ST返利,5.19,4.43,0.22,211192.0,108277747.0,7.85,5.22,4.83,4.99,4.97,1.03,5.08,-36.22,5.23,2162529896.0,2159232949.0,-0.19,-0.19,-7.49,-15.88
82,603162,海通发展,13.0,4.33,0.54,661268.0,863477551.0,14.29,13.71,11.93,12.35,12.46,3.49,23.69,35.83,2.78,12065908504.0,3628611948.0,0.0,-0.08,47.06,42.86
83,600110,诺德股份,7.03,4.3,0.29,970927.0,669997903.0,5.93,7.05,6.65,6.77,6.74,1.87,5.6,-97.6,2.07,12198321952.0,12198321952.0,0.14,0.43,3.08,75.75
84,600176,中国巨石,16.32,4.28,0.67,1020415.0,1655443227.0,5.88,16.49,15.57,15.59,15.65,3.55,2.55,19.08,2.07,65331191401.0,65331191401.0,0.0,0.0,2.13,48.63
86,603311,金海高科,13.53,4.24,0.55,106787.0,142915661.0,6.32,13.68,12.86,12.86,12.98,1.49,4.53,31.26,2.32,3191509262.0,3191509262.0,-0.07,0.15,23.45,37.08
89,600389,江山股份,25.0,4.17,1.0,133337.0,325948443.0,6.75,25.1,23.48,24.39,24.0,1.45,3.1,18.99,2.63,10766250000.0,10766250000.0,0.0,0.04,0.85,79.86
91,600219,南山铝业,5.02,4.15,0.2,3554426.0,1781242178.0,5.81,5.14,4.86,4.88,4.82,2.17,3.1,11.46,1.18,57648181826.0,57648181826.0,-0.4,-0.2,40.22,42.61
92,603159,上海亚虹,23.5,4.12,0.93,24579.0,55983788.0,5.27,23.5,22.31,22.64,22.57,0.83,1.76,-584.63,6.56,3290000000.0,3290000000.0,2.09,2.35,-4.51,52.01
93,601179,中国西电,9.7,4.08,0.38,3413770.0,3243731900.0,6.55,9.75,9.14,9.26,9.32,1.36,6.66,39.73,2.2,49721058814.0,49721058814.0,0.0,0.21,51.8,29.33
94,600693,东百集团,19.5,4.06,0.76,2229860.0,4366687017.0,9.61,20.61,18.81,19.33,18.74,1.18,25.66,144.48,4.8,16962001797.0,16944579249.0,-0.26,0.36,221.78,181.79
96,603389,*ST亚振,39.0,4.0,1.5,22283.0,86462784.0,3.73,39.2,37.8,38.2,37.5,0.85,0.85,-244.67,43.81,10247328000.0,10247328000.0,-0.08,0.0,22.76,536.22
98,600549,厦门钨业,42.99,3.99,1.65,676210.0,2900243904.0,7.43,44.14,41.07,41.41,41.34,1.17,4.35,28.73,4.07,68250314660.0,66803535820.0,0.07,0.19,51.53,130.26
99,605086,龙高股份,39.39,3.93,1.49,59558.0,231232651.0,11.42,40.9,36.57,37.81,37.9,1.73,3.32,66.2,5.52,7058688000.0,7058688000.0,-0.33,-0.18,58.0,27.02
102,603992,松霖科技,39.63,3.72,1.42,93151.0,367788878.0,9.53,40.74,37.1,37.93,38.21,1.16,2.18,81.1,5.28,17155920527.0,16943265947.0,0.0,0.0,27.18,118.95
103,601138,工业富联,62.86,3.7,2.24,2164938.0,13545831355.0,5.05,63.38,60.32,60.56,60.62,1.46,1.09,41.63,7.73,1248285432474.0,1248285432474.0,0.02,-0.05,-10.84,201.34
105,603301,振德医疗,71.17,3.63,2.49,59474.0,418709417.0,4.27,71.34,68.41,68.68,68.68,1.23,2.24,69.84,3.32,18919515026.0,18919515026.0,0.07,0.39,73.12,233.51
106,603499,翔港科技,20.43,3.6,0.71,96402.0,195915746.0,4.67,20.66,19.74,19.74,19.72,2.21,3.19,48.56,7.07,6182003388.0,6182003388.0,-0.05,0.05,12.69,11.52
107,600819,耀皮玻璃,8.38,3.58,0.29,261857.0,220056232.0,5.56,8.59,8.14,8.15,8.09,3.42,3.5,47.44,2.21,7834596658.0,6263346641.0,0.12,0.12,16.23,56.93
108,603187,海容冷链,15.9,3.52,0.54,174714.0,277516344.0,6.45,16.24,15.25,15.28,15.36,3.8,4.57,15.33,1.45,6144016101.0,6079554067.0,0.06,0.19,7.36,48.6
109,600552,凯盛科技,11.27,3.49,0.38,444725.0,497692612.0,6.7,11.54,10.81,10.88,10.89,3.21,4.71,62.05,2.5,10645719695.0,10645719695.0,0.0,0.18,-14.94,-0.79
110,603757,大元泵业,49.7,3.43,1.65,325325.0,1595018514.0,14.17,52.86,46.05,46.5,48.05,1.36,17.44,49.66,4.4,9271398772.0,9271398772.0,0.0,0.0,-4.88,156.85
111,600962,国投中鲁,21.3,3.4,0.7,69762.0,147873529.0,5.92,21.78,20.56,20.73,20.6,2.46,2.66,146.78,5.92,5585073000.0,5585073000.0,0.05,0.05,1.43,61.98
114,603680,今创集团,14.35,3.24,0.45,165494.0,241536890.0,9.93,15.18,13.8,13.88,13.9,1.2,2.11,17.12,2.01,11246364306.0,11246364306.0,0.07,0.14,16.38,79.38
116,600331,宏达股份,12.59,3.11,0.38,854955.0,1073085843.0,4.5,12.76,12.21,12.27,12.21,1.23,4.21,-534.16,10.45,33257744000.0,25582880000.0,0.0,0.16,14.45,65.22
117,603321,梅轮电梯,7.97,3.1,0.24,103909.0,82913477.0,6.99,8.24,7.7,7.8,7.73,3.31,3.43,74.17,1.93,2780649068.0,2411044550.0,-0.25,-0.13,1.66,17.21
119,600232,金鹰股份,7.78,3.05,0.23,250787.0,193902385.0,4.24,7.87,7.55,7.56,7.55,0.83,6.88,252.72,3.02,2837510272.0,2837510272.0,-0.26,-0.13,19.14,51.66
124,603690,至纯科技,30.71,2.92,0.87,359329.0,1101409044.0,4.66,31.0,29.61,29.72,29.84,1.72,9.38,104.14,2.34,11760832118.0,11760832118.0,0.0,0.07,5.53,22.55
125,603279,景津装备,15.73,2.88,0.44,83951.0,131723431.0,4.77,15.98,15.25,15.3,15.29,1.63,1.46,15.62,1.92,9066347290.0,9066347290.0,-0.06,0.0,1.94,-7.36
