code,name,latest_date,days_behind
600680,*ST上普,2018-04-27,2839
600806,退市昆机,2018-07-11,2764
600432,退市吉恩,2018-07-11,2764
600270,外运发展,2018-12-12,2610
600401,退市海润,2019-07-08,2402
600747,退市大控,2019-12-06,2251
600240,退市华业,2020-01-23,2203
600485,*ST信威,2020-04-20,2115
600677,*ST航通,2020-04-29,2106
600074,退市保千,2020-05-26,2079
601558,退市锐电,2020-06-23,2051
600175,退市美都,2020-08-07,2006
600069,退市银鸽,2020-08-20,1993
600317,营口港,2021-01-14,1846
600978,*ST宜生,2021-02-22,1807
600687,退市刚泰,2021-02-24,1805
600247,*ST成城,2021-02-24,1805
600086,退市金钰,2021-03-10,1791
600701,退市工新,2021-04-26,1744
600891,退市秋林,2021-04-30,1740
600634,退市富控,2021-07-14,1665
600614,退市鹏起,2021-07-14,1665
600068,葛洲坝,2021-09-01,1616
600723,首商股份,2021-09-15,1602
832317,观典防务,2021-10-20,1567
833994,翰博高新,2021-11-03,1553
833874,泰祥股份,2021-11-05,1551
600145,退市新亿,2022-04-21,1384
603996,退市中新,2022-05-17,1358
603157,退市拉夏,2022-05-17,1358
600695,退市绿庭,2022-06-07,1337
600291,退市西水,2022-06-07,1337
600890,退市中房,2022-06-15,1329
600856,退市中天,2022-06-15,1329
600652,退市游久,2022-06-15,1329
600275,退市昌鱼,2022-06-15,1329
600209,退市罗顿,2022-06-15,1329
600091,退市明科,2022-06-15,1329
600093,退市易见,2022-06-16,1328
600870,退市厦华,2022-06-23,1321
600146,退市环球,2022-06-23,1321
600385,退市金泰,2022-06-30,1314
600090,退市济堂,2022-06-30,1314
600555,退市海创,2022-07-06,1308
600896,退市海医,2022-07-18,1296
600260,*ST凯乐,2023-02-02,1097
600139,*ST西源,2023-02-27,1072
600311,*ST荣华,2023-03-02,1069
600466,*ST蓝光,2023-05-09,1001
601258,*ST庞大,2023-05-24,986
600122,*ST宏图,2023-05-26,984
600393,ST粤泰,2023-06-08,971
600077,*ST宋都,2023-06-13,966
600781,退市辅仁,2023-06-19,960
600532,退市未来,2023-06-19,960
600767,退市运盛,2023-06-20,959
600242,退市中昌,2023-06-20,959
688555,退市泽达,2023-06-30,949
688086,退市紫晶,2023-06-30,949
600290,*ST华仪,2023-12-25,771
603555,ST贵人,2024-03-07,698
603603,退市博天,2024-04-18,656
600823,*ST世茂,2024-05-15,629
600321,正源股份,2024-05-30,614
600220,ST阳光,2024-06-13,600
600836,*ST易连,2024-06-17,596
600306,退市商城,2024-06-19,594
