code,name,reason
603248,锡华科技,データが不足（19件、必要: 26件以上）
603402,陕西旅游,データが不足（19件、必要: 26件以上）
603352,至信股份,データが不足（4件、必要: 26件以上）
688809,强一股份,データが不足（14件、必要: 26件以上）
688802,沐曦股份-U,データが不足（23件、必要: 26件以上）
688805,健信超导,データが不足（18件、必要: 26件以上）
688807,优迅股份,データが不足（25件、必要: 26件以上）
688818,电科蓝天,データ取得に失敗（既存データなし、新規取得も失敗）
688816,易思维,データ取得に失敗（既存データなし、新規取得も失敗）
688785,恒运昌,データ取得に失敗（既存データなし、新規取得も失敗）
688712,北芯生命,データ取得に失敗（既存データなし、新規取得も失敗）
603284,林平发展,データ取得に失敗（既存データなし、新規取得も失敗）
601299,中国北车,データ取得に失敗（既存データなし、新規取得も失敗）
601268,*ST二重,データ取得に失敗（既存データなし、新規取得も失敗）
601112,振石股份,データ取得に失敗（既存データなし、新規取得も失敗）
600991,广汽长丰,データ取得に失敗（既存データなし、新規取得も失敗）
600899,*ST信联,データ取得に失敗（既存データなし、新規取得も失敗）
600878,*ST北科,データ取得に失敗（既存データなし、新規取得も失敗）
600852,*ST中川,データ取得に失敗（既存データなし、新規取得も失敗）
600849,上药转换,データ取得に失敗（既存データなし、新規取得も失敗）
600842,中西药业,データ取得に失敗（既存データなし、新規取得も失敗）
600840,新湖创业,データ取得に失敗（既存データなし、新規取得も失敗）
600832,东方明珠,データ取得に失敗（既存データなし、新規取得も失敗）
600813,ST鞍一工,データ取得に失敗（既存データなし、新規取得も失敗）
600799,*ST龙科,データ取得に失敗（既存データなし、新規取得も失敗）
600788,*ST达曼,データ取得に失敗（既存データなし、新規取得も失敗）
600786,东方锅炉,データ取得に失敗（既存データなし、新規取得も失敗）
600772,S*ST龙昌,データ取得に失敗（既存データなし、新規取得も失敗）
600762,S*ST金荔,データ取得に失敗（既存データなし、新規取得も失敗）
600752,*ST哈慈,データ取得に失敗（既存データなし、新規取得も失敗）
600709,ST生态,データ取得に失敗（既存データなし、新規取得も失敗）
600700,*ST数码,データ取得に失敗（既存データなし、新規取得も失敗）
600672,*ST华圣,データ取得に失敗（既存データなし、新規取得も失敗）
600670,*ST斯达,データ取得に失敗（既存データなし、新規取得も失敗）
600669,*ST鞍成,データ取得に失敗（既存データなし、新規取得も失敗）
600659,*ST花雕,データ取得に失敗（既存データなし、新規取得も失敗）
600656,退市博元,データ取得に失敗（既存データなし、新規取得も失敗）
600646,ST国嘉,データ取得に失敗（既存データなし、新規取得も失敗）
600632,华联商厦,データ取得に失敗（既存データなし、新規取得も失敗）
600631,百联股份,データ取得に失敗（既存データなし、新規取得も失敗）
600627,上电股份,データ取得に失敗（既存データなし、新規取得も失敗）
600625,PT水仙,データ取得に失敗（既存データなし、新規取得も失敗）
600607,上实医药,データ取得に失敗（既存データなし、新規取得も失敗）
600591,*ST上航,データ取得に失敗（既存データなし、新規取得も失敗）
600553,太行水泥,データ取得に失敗（既存データなし、新規取得も失敗）
600472,包头铝业,データ取得に失敗（既存データなし、新規取得も失敗）
600357,承德钒钛,データ取得に失敗（既存データなし、新規取得も失敗）
600296,S兰铝,データ取得に失敗（既存データなし、新規取得も失敗）
600286,S*ST国瓷,データ取得に失敗（既存データなし、新規取得も失敗）
600263,路桥建设,データ取得に失敗（既存データなし、新規取得も失敗）
600253,天方药业,データ取得に失敗（既存データなし、新規取得も失敗）
600205,S山东铝,データ取得に失敗（既存データなし、新規取得も失敗）
600181,S*ST云大,データ取得に失敗（既存データなし、新規取得も失敗）
600102,莱钢股份,データ取得に失敗（既存データなし、新規取得も失敗）
600092,S*ST精密,データ取得に失敗（既存データなし、新規取得も失敗）
600087,退市长油,データ取得に失敗（既存データなし、新規取得も失敗）
600065,*ST联谊,データ取得に失敗（既存データなし、新規取得も失敗）
600005,武钢股份,データ取得に失敗（既存データなし、新規取得も失敗）
600003,ST东北高,データ取得に失敗（既存データなし、新規取得も失敗）
600002,齐鲁石化,データ取得に失敗（既存データなし、新規取得も失敗）
600001,邯郸钢铁,データ取得に失敗（既存データなし、新規取得も失敗）
920045,蘅东光,データが不足（17件、必要: 26件以上）
920076,国亮新材,データが不足（3件、必要: 26件以上）
920121,江天科技,データが不足（21件、必要: 26件以上）
920050,爱舍伦,データが不足（4件、必要: 26件以上）
920086,科马材料,データが不足（7件、必要: 26件以上）
920159,农大科技,データ取得に失敗（既存データなし、新規取得も失敗）
920119,美德乐,データ取得に失敗（既存データなし、新規取得も失敗）
810013,万通定转,データ取得に失敗（既存データなし、新規取得も失敗）
810011,优机定转,データが不足（10件、必要: 26件以上）
