code,name,date,close,pct_chg,volume,z_score,vol_ratio
603819,神力股份,2025-12-26,12.43,5.7,183235,4.19,4.87
688605,先锋精科,2025-12-26,68.39,4.41,138043,3.7,4.5
600962,国投中鲁,2025-12-26,24.58,6.45,188453,2.81,4.42
688225,亚信安全,2025-12-26,18.98,4.0,119418,3.73,3.5
600965,福成股份,2025-12-26,6.13,6.98,618008,3.95,3.48
688456,有研粉材,2025-12-26,75.49,5.36,126404,2.05,3.46
688230,芯导科技,2025-12-26,70.77,6.82,35187,3.84,3.43
603305,旭升集团,2025-12-26,16.31,6.05,1821147,2.92,3.42
688013,天臣医疗,2025-12-26,54.6,3.14,45435,3.42,3.4
600540,新赛股份,2025-12-26,4.78,3.24,393730,4.0,3.36
688100,威胜信息,2025-12-26,39.01,3.89,70914,3.97,3.25
603868,飞科电器,2025-12-26,41.32,4.05,61786,2.02,3.2
603311,金海高科,2025-12-26,15.91,7.86,239841,2.25,3.18
600399,抚顺特钢,2025-12-26,6.0,3.27,1905254,2.36,3.0
603938,三孚股份,2025-12-26,20.88,5.3,316296,2.25,2.93
600599,*ST熊猫,2025-12-26,10.48,5.01,115078,2.09,2.88
605378,野马电池,2025-12-26,23.7,3.36,111590,3.61,2.84
688281,华秦科技,2025-12-26,74.29,5.59,56597,2.91,2.81
920077,吉林碳谷,2025-12-26,14.8,4.52,161191,2.76,2.79
920019,铜冠矿建,2025-12-26,20.78,3.54,58899,3.66,2.72
603030,全筑股份,2025-12-26,3.08,4.76,921847,3.64,2.63
600293,三峡新材,2025-12-26,3.36,5.66,768233,3.72,2.61
603269,海鸥股份,2025-12-26,13.72,6.36,366345,2.41,2.57
920770,艾能聚,2025-12-26,19.14,3.13,92872,3.21,2.54
603007,*ST花王,2025-12-26,5.3,4.95,222535,3.67,2.54
688005,容百科技,2025-12-26,34.05,6.54,656881,3.4,2.53
688385,复旦微电,2025-12-26,77.58,3.16,322218,2.68,2.52
688007,光峰科技,2025-12-26,18.95,3.27,137880,2.86,2.49
688316,青云科技-U,2025-12-26,61.1,5.62,38493,2.92,2.45
605003,众望布艺,2025-12-26,29.6,3.39,53737,1.95,2.33
920023,田野股份,2025-12-26,5.15,6.19,678035,1.09,2.31
600348,华阳股份,2025-12-26,8.17,6.1,1139108,2.35,2.3
600719,大连热电,2025-12-26,6.22,3.49,202289,2.03,2.29
601012,隆基绿能,2025-12-26,19.02,4.11,2752732,3.49,2.29
600376,首开股份,2025-12-26,6.19,4.56,3342046,2.69,2.23
688070,纵横股份,2025-12-26,54.82,3.73,26174,3.25,2.22
600515,海南机场,2025-12-26,5.54,4.92,5353772,1.73,2.2
603123,翠微股份,2025-12-26,14.57,3.85,1175816,1.25,2.17
920274,宏裕包材,2025-12-26,42.3,9.02,108022,1.73,2.16
688290,景业智能,2025-12-26,61.36,3.68,42104,1.65,2.13
688258,卓易信息,2025-12-26,72.74,6.97,66570,2.6,2.09
600936,广西广电,2025-12-26,4.5,5.88,1661784,1.14,2.08
603119,浙江荣泰,2025-12-26,103.6,4.38,224184,2.34,2.08
601696,中银证券,2025-12-26,15.68,5.59,2307682,1.81,2.05
688010,福光股份,2025-12-26,32.4,3.78,152793,2.47,2.03
600850,电科数字,2025-12-26,30.55,6.3,346291,1.48,2.01
688291,金橙子,2025-12-26,40.68,7.34,105009,2.51,2.01
601888,中国中免,2025-12-26,92.3,8.32,1008303,1.63,2.01
600338,西藏珠峰,2025-12-26,15.05,6.29,883213,3.49,2.0
