code,name,date,close,pct_chg,volume,z_score,vol_ratio
603309,维力医疗,2026/1/5,14.59,7.36,214787,4.21,5.95
688505,复旦张江,2026/1/5,8.72,5.06,123377,4.17,4.37
603466,风语筑,2026/1/5,10.03,7.16,474615,4.11,4.33
603382,海阳科技,2026/1/5,35.19,9.15,108481,4.1,5.37
688358,祥生医疗,2026/1/5,32.08,6.58,31784,3.99,3.85
600120,浙江东方,2026/1/5,6.59,6.81,2174509,3.98,3.94
600363,联创光电,2026/1/5,66.28,5.11,580324,3.96,4.63
600704,物产中大,2026/1/5,5.74,3.05,1128218,3.94,2.58
600748,上实发展,2026/1/5,5.79,6.83,896145,3.94,4.12
688188,柏楚电子,2026/1/5,146.85,8.07,43653,3.93,2.86
920088,科力股份,2026/1/5,30.95,5.99,56860,3.92,3.68
600584,长电科技,2026/1/5,38.36,4.3,795260,3.9,2.52
603855,华荣股份,2026/1/5,20.06,3.67,75267,3.88,3.65
688016,心脉医疗,2026/1/5,95.84,4.56,24564,3.86,2.5
688096,京源环保,2026/1/5,8.59,8.73,154512,3.83,3.26
605333,沪光股份,2026/1/5,32.38,8.55,143204,3.79,4.07
920128,胜业电气,2026/1/5,29.86,7.03,58787,3.79,5.27
603400,华之杰,2026/1/5,54.77,4.74,21825,3.79,3.28
688786,悦安新材,2026/1/5,29.95,6.17,45576,3.74,2.99
600435,北方导航,2026/1/5,16.38,6.23,1585374,3.73,3.48
688262,国芯科技,2026/1/5,32.53,7.18,223854,3.67,2.22
600769,祥龙电业,2026/1/5,12.72,5.65,196756,3.67,3.06
600648,外高桥,2026/1/5,10.8,7.04,141343,3.65,4.25
603612,索通发展,2026/1/5,25.06,6.64,342839,3.63,2.53
920976,视声智能,2026/1/5,28.1,4.23,40532,3.63,3.8
688209,英集芯,2026/1/5,21.46,7.62,180493,3.63,2.36
688620,安凯微,2026/1/5,12.64,4.98,147696,3.59,2.35
688180,君实生物-U,2026/1/5,36.42,6.62,145436,3.58,2.31
600257,大湖股份,2026/1/5,6.61,5.25,558334,3.58,2.68
603888,新华网,2026/1/5,20.11,3.5,165769,3.57,2.8
603538,美诺华,2026/1/5,20.23,5.15,91191,3.56,2.62
600521,华海药业,2026/1/5,17.75,4.6,346041,3.55,2.27
688136,科兴制药,2026/1/5,33.36,5.34,53488,3.54,2.89
601718,际华集团,2026/1/5,3.47,3.58,1028356,3.53,2.34
600519,贵州茅台,2026/1/5,1426,3.54,70949,3.49,2.41
601921,浙版传媒,2026/1/5,8.1,3.58,257915,3.49,3.12
603051,鹿山新材,2026/1/5,22.12,4.39,110946,3.44,3.32
603367,辰欣药业,2026/1/5,18.21,5.14,204427,3.44,2.1
